code,name,previous,births,deaths,natural change,Internal Inflow,Internal Outflow,Internal Net,International Inflow,International Outflow,International Net,Other,now,area
E12000007,LONDON,8308369,131011,48078,82933,196571,251599,-55028,170042,90524,79518,743,8416535,1594.706366
E09000007,Camden,224962,2861,1144,1717,20254,21990,-1736,11010,6266,4744,32,229719,21.807902
E09000001,City of London,7604,71,27,44,628,821,-193,624,431,193,0,7648,2.899622
E09000012,Hackney,252119,4507,1055,3452,18866,19105,-239,4859,2838,2021,26,257379,19.056242
E09000013,Hammersmith and Fulham,179850,2599,880,1719,15634,18577,-2943,5024,4983,41,18,178685,16.3835
E09000014,Haringey,258912,4150,1068,3082,19699,23191,-3492,6777,1917,4860,24,263386,29.603909
E09000019,Islington,211047,2945,1051,1894,19543,20669,-1126,7477,3629,3848,4,215667,14.832808
E09000020,Kensington and Chelsea,155930,1909,809,1100,10391,11667,-1276,4437,4607,-170,10,155594,12.135097
E09000022,Lambeth,310200,4645,1366,3279,29059,31792,-2733,7471,4204,3267,229,314242,26.797941
E09000023,Lewisham,281556,4951,1545,3406,21187,22382,-1195,4263,1856,2407,6,286180,35.188843
E09000025,Newham,314084,6260,1280,4980,17706,25713,-8007,11324,4173,7151,19,318227,36.200592
E09000028,Southwark,293530,4908,1288,3620,25267,27520,-2253,8241,4700,3541,26,298464,28.845351
E09000030,Tower Hamlets,263003,4805,1018,3787,21205,22137,-932,12018,5005,7013,19,272890,19.766789
E09000032,Wandsworth,308312,5269,1531,3738,29762,31386,-1624,6202,6100,102,-12,310516,34.269845
E09000033,Westminster,223858,2832,1108,1724,16646,22984,-6338,13549,6003,7546,51,226841,21.460754
E09000002,Barking and Dagenham,190560,3866,1235,2631,12354,12612,-258,2272,869,1403,16,194352,36.108154
E09000003,Barnet,363956,5286,2371,2915,20664,22396,-1732,6102,2190,3912,37,369088,86.799656
E09000004,Bexley,234271,2972,1934,1038,11435,10590,845,969,453,516,17,236687,60.597449
E09000005,Brent,314660,5170,1689,3481,17319,22241,-4922,8326,4305,4021,24,317264,43.223362
E09000006,Bromley,314036,3981,2547,1434,17034,14988,2046,1339,991,348,35,317899,150.125304
E09000008,Croydon,368886,5747,2401,3346,19199,19823,-624,3292,2151,1141,3,372752,86.535667
E09000009,Ealing,340671,5687,1873,3814,20260,24664,-4404,6941,4558,2383,30,342494,55.53862
E09000010,Enfield,317287,4966,1997,2969,16223,17899,-1676,3032,1099,1933,11,320524,82.17133
E09000011,Greenwich,260068,4564,1538,3026,17640,18511,-871,3872,2054,1818,-33,264008,47.305863
E09000015,Harrow,242377,3620,1449,2171,13300,15652,-2352,2869,1716,1153,23,243372,50.44349
E09000016,Havering,239733,2926,2335,591,10930,9460,1470,730,459,271,15,242080,112.341852
E09000017,Hillingdon,281756,4390,1843,2547,16530,16827,-297,4363,1530,2833,-33,286806,115.725969
E09000018,Hounslow,259052,4512,1436,3076,15313,18065,-2752,4689,1695,2994,37,262407,55.972288
E09000021,Kingston upon Thames,163906,2213,1097,1116,12281,12334,-53,2865,1038,1827,-3,166793,37.275509
E09000024,Merton,202225,3474,1217,2257,15100,16559,-1459,2858,2681,177,23,203223,37.62857
E09000026,Redbridge,284617,4706,1805,2901,17492,18805,-1313,3847,1798,2049,18,288272,56.412461
E09000027,Richmond upon Thames,189145,2826,1278,1548,13779,13283,496,1636,1497,139,37,191365,57.369267
E09000029,Sutton,193630,2639,1461,1178,10330,9574,756,941,611,330,20,195914,43.835898
E09000031,Waltham Forest,262566,4754,1402,3352,14644,18484,-3840,5823,2117,3706,13,265797,38.822009
E12000008,SOUTH EAST,8724737,104505,78016,26489,232608,207754,24854,60066,43936,16130,416,8792626,19405.20755
E06000036,Bracknell Forest,115058,1534,700,834,6647,6285,362,735,449,286,27,116567,109.344456
E06000043,Brighton and Hove,275762,3096,2128,968,17710,19040,-1330,5583,2870,2713,-1,278112,82.688429
E06000046,Isle of Wight,138748,1269,1835,-566,4268,3625,643,351,381,-30,-402,138393,380.213915
E06000035,Medway,268218,3512,2060,1452,11639,10666,973,1141,834,307,155,271105,193.47848
E06000042,Milton Keynes,252358,3861,1699,2162,11110,9747,1363,1561,1783,-222,31,255692,308.636541
E06000044,Portsmouth,206836,2755,1694,1061,10832,12535,-1703,2432,1110,1322,-56,207460,40.392217
E06000038,Reading,157112,2725,1146,1579,12372,12877,-505,2729,1714,1015,46,159247,40.384054
E06000039,Slough,141838,2659,793,1866,5926,7285,-1359,1454,790,664,15,143024,32.534139
E06000045,Southampton,239428,3328,1887,1441,14838,16872,-2034,4527,1265,3262,44,242141,49.888742
E06000037,West Berkshire,154486,1851,1193,658,8056,7556,500,597,947,-350,98,155392,704.15083
E06000040,Windsor and Maidenhead,145822,1702,1193,509,8567,8737,-170,976,894,82,92,146335,198.433013
E06000041,Wokingham,156663,1912,1196,716,9905,9399,506,894,865,29,-48,157866,178.975961
E10000002,Buckinghamshire,511488,6009,3903,2106,23977,21761,2216,2825,2512,313,-27,516096,1564.986173
E07000004,Aylesbury Vale,177793,2163,1304,859,9523,7877,1646,1370,661,709,64,181071,902.753208
E07000005,Chiltern,92954,854,713,141,5474,5159,315,306,472,-166,6,93250,196.348234
E07000006,South Bucks,67435,780,646,134,4888,4326,562,321,494,-173,-17,67941,141.265512
E07000007,Wycombe,173306,2212,1240,972,8855,9162,-307,828,885,-57,-80,173834,324.572076
E10000011,East Sussex,531201,5327,6419,-1092,20598,16153,4445,2014,2157,-143,-9,534402,1712.681344
E07000061,Eastbourne,100049,1151,1358,-207,5804,5260,544,641,487,154,-3,100537,45.529026
E07000062,Hastings,90345,1222,962,260,4353,4161,192,418,471,-53,10,90754,30.831893
E07000063,Lewes,98690,931,1112,-181,5581,4465,1116,268,372,-104,-42,99479,294.389326
E07000064,Rother,91088,730,1369,-639,5326,4598,728,240,367,-127,4,91054,518.153207
E07000065,Wealden,151029,1293,1618,-325,8610,6745,1865,447,460,-13,22,152578,836.265345
E10000014,Hampshire,1330153,14817,12213,2604,50424,45384,5040,4556,5207,-651,584,1337730,3678.884902
E07000084,Basingstoke and Deane,170492,2285,1201,1084,7302,7098,204,750,746,4,68,171852,633.817159
E07000085,East Hampshire,116400,1129,1127,2,6525,5669,856,366,487,-121,-49,117088,514.432075
E07000086,Eastleigh,126764,1569,1060,509,6162,5727,435,264,277,-13,27,127722,85.267985
E07000087,Fareham,112802,1045,1176,-131,5900,4981,919,260,308,-48,72,113614,77.799003
E07000088,Gosport,83276,1004,855,149,3468,3397,71,170,234,-64,71,83503,27.501328
E07000089,Hart,92162,997,630,367,5306,4976,330,313,472,-159,20,92720,215.265089
E07000090,Havant,121271,1274,1337,-63,5396,5020,376,211,263,-52,30,121562,79.099458
E07000091,New Forest,177382,1649,2092,-443,7718,6771,947,536,392,144,32,178062,776.909125
E07000092,Rushmoor,94870,1369,684,685,5171,5869,-698,539,535,4,110,94971,39.045031
E07000093,Test Valley,117032,1295,1033,262,6401,5367,1034,436,519,-83,127,118372,627.621758
E07000094,Winchester,117702,1201,1018,183,8569,8003,566,711,974,-263,76,118264,661.070802
E10000016,Kent,1480166,17432,13871,3561,50808,43764,7044,7821,4836,2985,-244,1493512,3545.929609
E07000105,Ashford,120116,1554,1031,523,6064,5120,944,472,331,141,-1,121723,580.617307
E07000106,Canterbury,153399,1336,1496,-160,12535,11031,1504,1727,836,891,-327,155307,320.889413
E07000107,Dartford,98940,1467,880,587,5992,5186,806,429,200,229,7,100569,76.310416
E07000108,Dover,111765,1211,1168,43,4757,4354,403,461,389,72,55,112338,320.815352
E07000109,Gravesham,102764,1390,894,496,4537,4445,92,671,269,402,-2,103752,104.958778
E07000110,Maidstone,157297,1965,1382,583,8215,7194,1021,962,511,451,-27,159325,393.350731
E07000111,Sevenoaks,116400,1279,1046,233,6633,6327,306,416,322,94,2,117035,370.346903
E07000112,Shepway,108700,1137,1170,-33,4853,4684,169,310,256,54,-58,108832,365.404008
E07000113,Swale,137670,1746,1217,529,5656,5162,494,681,254,427,51,139171,422.095542
E07000114,Thanet,135661,1642,1644,-2,5669,4878,791,692,408,284,32,136766,112.338892
E07000115,Tonbridge and Malling,121912,1432,955,477,7149,6540,609,393,407,-14,17,123001,240.973427
E07000116,Tunbridge Wells,115542,1273,988,285,6128,6223,-95,607,653,-46,7,115693,331.328852
E10000025,Oxfordshire,660772,8021,5455,2566,30932,31250,-318,7305,4042,3263,-201,666082,2605.901335
E07000177,Cherwell,142822,1865,1163,702,6822,6967,-145,816,486,330,-50,143659,588.763295
E07000178,Oxford,152527,1933,970,963,14188,15732,-1544,4873,2062,2811,16,154773,45.605314
E07000179,South Oxfordshire,135541,1520,1214,306,7801,7404,397,599,746,-147,-82,136015,678.538779
E07000180,Vale of White Horse,122764,1420,1116,304,7314,6786,528,651,444,207,-157,123646,578.641012
E07000181,West Oxfordshire,107118,1283,992,291,5188,4742,446,366,304,62,72,107989,714.399378
E10000030,Surrey,1143509,13829,9939,3890,54138,50175,3963,8341,7802,539,213,1152114,1670.081906
E07000207,Elmbridge,131512,1840,1132,708,8037,7324,713,817,1576,-759,5,132179,96.342824
E07000208,Epsom and Ewell,76052,930,584,346,5186,4529,657,375,305,70,6,77131,34.076752
E07000209,Guildford,139710,1613,1029,584,9520,10247,-727,2823,1427,1396,46,141009,270.931206
E07000210,Mole Valley,85846,855,841,14,5043,4263,780,320,664,-344,13,86309,258.321769
E07000211,Reigate and Banstead,139888,1786,1277,509,7854,7262,592,596,551,45,39,141073,129.146323
E07000212,Runnymede,82189,940,704,236,6338,6024,314,1148,456,692,17,83448,78.043532
E07000213,Spelthorne,96744,1309,906,403,4941,4754,187,418,329,89,33,97456,51.157179
E07000214,Surrey Heath,86614,912,750,162,5197,4945,252,333,507,-174,50,86904,95.092966
E07000215,Tandridge,83693,933,871,62,5335,4513,822,275,234,41,-6,84612,248.193441
E07000216,Waverley,121884,1321,1097,224,7718,7300,418,598,686,-88,-12,122426,345.170238
E07000217,Woking,99377,1390,748,642,5573,5618,-45,638,1067,-429,22,99567,63.595594
E10000032,West Sussex,815119,8866,8692,174,30569,25350,5219,4224,3478,746,98,821356,1990.494662
E07000223,Adur,61929,759,686,73,3651,3132,519,165,179,-14,-2,62505,43.55767
E07000224,Arun,151384,1549,2015,-466,7337,5837,1500,811,427,384,16,152818,224.439953
E07000225,Chichester,114521,1081,1355,-274,7417,6558,859,735,604,131,64,115301,811.873367
E07000226,Crawley,108302,1602,755,847,4289,4887,-598,1022,621,401,19,108971,44.971202
E07000227,Horsham,132160,1230,1282,-52,6606,5783,823,461,506,-45,-8,132878,530.962092
E07000228,Mid Sussex,141162,1484,1270,214,7503,6117,1386,659,661,-2,6,142766,334.029226
E07000229,Worthing,105661,1161,1329,-168,5469,4739,730,371,480,-109,3,106117,33.782673
E12000009,SOUTH WEST,5339637,59606,54511,5095,136831,115817,21014,30816,19882,10934,915,5377595,24388.55572
E06000022,Bath and North East Somerset,177643,1848,1622,226,12492,11738,754,2410,900,1510,-36,180097,351.16341
E06000028,Bournemouth,186744,2316,2120,196,14243,14193,50,2890,1171,1719,24,188733,46.203182
E06000023,"Bristol, City of",432451,6632,3387,3245,26857,26724,133,5795,4157,1638,25,437492,109.632507
E06000052,Cornwall,537914,5639,5996,-357,20062,16975,3087,1914,1517,397,278,541319,3549.761994
E06000053,Isles of Scilly,2264,25,26,-1,160,165,-5,11,22,-11,4,2251,16.428869
E06000024,North Somerset,204385,2265,2203,62,9246,7717,1529,589,435,154,5,206135,374.676909
E06000026,Plymouth,258026,3271,2420,851,12321,12760,-439,1675,742,933,-196,259175,79.817785
E06000029,Poole,148615,1613,1650,-37,8710,8587,123,640,401,239,69,149009,64.73894
E06000025,South Gloucestershire,266147,3122,2154,968,14327,13058,1269,1518,624,894,-171,269107,496.946622
E06000030,Swindon,211934,3005,1650,1355,7286,7141,145,1334,806,528,75,214037,230.095107
E06000027,Torbay,131492,1452,1733,-281,6215,5409,806,403,357,46,12,132075,62.933906
E06000054,Wiltshire,476816,5199,4433,766,20122,18313,1809,1819,1878,-59,302,479634,3255.358047
E10000008,Devon,753157,7375,8507,-1132,30225,26446,3779,3991,1986,2005,243,758052,6567.175452
E07000040,East Devon,134359,1098,1877,-779,6976,5730,1246,334,297,37,35,134898,823.716818
E07000041,Exeter,119397,1386,1021,365,9694,9452,242,2332,579,1753,43,121800,47.888327
E07000042,Mid Devon,78335,863,703,160,4106,4029,77,246,148,98,0,78670,912.897722
E07000043,North Devon,93847,1001,1084,-83,4247,4239,8,236,173,63,-10,93825,1105.045266
E07000044,South Hams,83597,669,920,-251,4946,4491,455,270,321,-51,100,83850,905.24775
E07000045,Teignbridge,125020,1238,1469,-231,6425,5266,1159,282,232,50,3,126001,681.00817
E07000046,Torridge,64743,625,760,-135,3553,3144,409,153,102,51,21,65089,995.650679
E07000047,West Devon,53859,495,673,-178,3072,2888,184,138,134,4,50,53919,1164.717858
E10000009,Dorset,414940,3590,4913,-1323,20005,17238,2767,1153,1168,-15,352,416721,2541.905192
E07000048,Christchurch,47987,424,642,-218,3203,2537,666,114,184,-70,3,48368,51.695572
E07000049,East Dorset,87755,644,1084,-440,5158,4582,576,186,190,-4,12,87899,354.417952
E07000050,North Dorset,69348,689,674,15,4171,3887,284,252,199,53,183,69883,609.217921
E07000051,Purbeck,45289,413,491,-78,2481,2352,129,117,111,6,65,45411,427.583892
E07000052,West Dorset,99532,776,1278,-502,6137,5159,978,304,315,-11,29,100026,1087.045646
E07000053,Weymouth and Portland,65029,644,744,-100,3108,2974,134,180,169,11,60,65134,42.995984
E10000013,Gloucestershire,602159,6655,5922,733,22096,19805,2291,2687,2292,395,76,605654,2653.090314
E07000078,Cheltenham,116080,1326,1042,284,6996,7531,-535,815,808,7,64,115900,46.629318
E07000079,Cotswold,83562,698,857,-159,5491,4821,670,399,473,-74,80,84079,1164.5152
E07000080,Forest of Dean,82731,760,897,-137,3949,3685,264,194,156,38,41,82937,561.580151
E07000081,Gloucester,123439,1886,1038,848,5987,5885,102,675,365,310,-137,124562,40.833723
E07000082,Stroud,113363,1056,1244,-188,5447,4694,753,254,286,-32,24,113920,476.045657
E07000083,Tewkesbury,82984,929,844,85,5482,4445,1037,350,204,146,4,84256,414.936277
E10000027,Somerset,534950,5599,5775,-176,20241,17326,2915,1987,1426,561,-146,538104,3452.041084
E07000187,Mendip,109938,1094,1128,-34,5760,5386,374,403,352,51,-148,110181,739.435431
E07000188,Sedgemoor,116071,1309,1211,98,5706,4634,1072,476,165,311,-8,117544,605.874014
E07000189,South Somerset,163012,1763,1719,44,7402,6574,828,533,469,64,-5,163943,959.058124
E07000190,Taunton Deane,111370,1172,1238,-66,5741,5057,684,460,348,112,16,112116,462.502818
E07000191,West Somerset,34559,261,479,-218,1867,1910,-43,115,92,23,-1,34320,747.049696
W92000004,WALES,3074067,34404,32578,1826,55014,55679,-665,13725,6414,7311,-127,3082412,20780.26811
W06000001,Isle of Anglesey,70049,805,857,-52,2356,2305,51,123,64,59,-16,70091,714.482284
W06000002,Gwynedd,122142,1251,1350,-99,5211,6039,-828,900,204,696,0,121911,2548.31642
W06000003,Conwy,115515,1136,1534,-398,4685,4075,610,277,200,77,31,115835,1130.275258
W06000004,Denbighshire,94066,1053,1175,-122,4527,4030,497,188,130,58,11,94510,838.525999
W06000005,Flintshire,152743,1681,1523,158,4762,4679,83,413,144,269,-13,153240,437.49414
W06000006,Wrexham,135919,1690,1305,385,3796,4158,-362,683,212,471,-14,136399,503.684367
W06000023,Powys,132952,1246,1506,-260,5105,5165,-60,284,202,82,-9,132705,5195.363541
W06000008,Ceredigion,76046,641,788,-147,5676,6040,-364,618,186,432,-3,75964,1789.066224
W06000009,Pembrokeshire,123035,1202,1409,-207,3931,3633,298,251,157,94,41,123261,1618.633997
W06000010,Carmarthenshire,184317,1906,2208,-302,6220,5881,339,518,183,335,-8,184681,2371.149476
W06000011,Swansea,239633,2599,2549,50,8998,9517,-519,1868,671,1197,-29,240332,379.678942
W06000012,Neath Port Talbot,140108,1465,1637,-172,3898,4043,-145,204,94,110,-3,139898,442.30561
W06000013,Bridgend,139740,1563,1463,100,4214,3564,650,225,148,77,-87,140480,250.783809
W06000014,The Vale of Glamorgan,126831,1336,1258,78,5064,4774,290,243,259,-16,-24,127159,330.918914
W06000015,Cardiff,348493,4574,2818,1756,19488,20249,-761,4704,2470,2234,-12,351710,140.44439
W06000016,Rhondda Cynon Taf,235599,2808,2527,281,6473,6789,-316,790,232,558,-8,236114,424.13417
W06000024,Merthyr Tydfil,58898,733,617,116,1528,1647,-119,177,43,134,-8,59021,111.930282
W06000018,Caerphilly,179022,2045,1782,263,4507,4599,-92,148,106,42,12,179247,277.352313
W06000019,Blaenau Gwent,69822,837,845,-8,1682,1785,-103,93,38,55,23,69789,108.725541
W06000020,Torfaen,91372,1056,1009,47,2370,2412,-42,84,48,36,-6,91407,126.222414
W06000021,Monmouthshire,91659,838,979,-141,4396,3811,585,172,193,-21,18,92100,850.271208
W06000022,Newport,146106,1939,1439,500,5176,5533,-357,762,430,332,-23,146558,190.508809
S92000003,SCOTLAND,5313600,56843,55934,909,47685,39823,7862,28200,26100,2100,3229,5327700,0
S12000033,Aberdeen City,224970,2531,2093,438,10404,10030,374,3631,2332,1299,49,227130,0
S12000034,Aberdeenshire,255540,2745,2292,453,8577,7042,1535,974,859,115,97,257740,0
S12000041,Angus,116210,1165,1338,-173,3643,3476,167,284,368,-84,120,116240,0
S12000035,Argyll and Bute,86900,713,1079,-366,3698,3509,189,236,447,-211,1538,88050,0
S12000005,Clackmannanshire,51280,596,552,44,1525,1557,-32,78,110,-32,20,51280,0
S12000006,Dumfries and Galloway,150830,1357,1904,-547,3781,3452,329,200,535,-335,-7,150270,0
S12000042,Dundee City,147800,1667,1681,-14,5720,5687,33,1379,1052,327,24,148170,0
S12000008,East Ayrshire,122720,1328,1403,-75,3031,2982,49,80,235,-155,-99,122440,0
S12000045,East Dunbartonshire,105880,904,1035,-131,3429,3201,228,78,199,-121,4,105860,0
S12000010,East Lothian,100850,1068,1076,-8,3505,2949,556,256,309,-53,15,101360,0
S12000011,East Renfrewshire,91030,844,898,-54,3571,2938,633,89,193,-104,-5,91500,0
S12000036,City of Edinburgh,482640,5549,4314,1235,20604,19530,1074,7250,5292,1958,593,487500,0
S12000013,Eilean Siar,27560,237,386,-149,833,793,40,28,87,-59,8,27400,0
S12000014,Falkirk,156800,1653,1604,49,3817,3325,492,230,365,-135,-66,157140,0
S12000015,Fife,366220,3901,3884,17,8949,8591,358,1510,1564,-54,369,366910,0
S12000046,Glasgow City,595080,7379,6433,946,20943,22557,-1614,7087,5021,2066,72,596550,0
S12000017,Highland,232910,2251,2372,-121,6460,6122,338,619,862,-243,66,232950,0
S12000018,Inverclyde,80680,777,977,-200,1324,1439,-115,65,127,-62,7,80310,0
S12000019,Midlothian,84240,1022,829,193,2891,2284,607,90,133,-43,-297,84700,0
S12000020,Moray,92910,965,946,19,3300,2557,743,236,378,-142,820,94350,0
S12000021,North Ayrshire,137560,1302,1620,-318,3372,3446,-74,109,349,-240,-8,136920,0
S12000044,North Lanarkshire,337870,3763,3483,280,6219,6285,-66,406,752,-346,-8,337730,0
S12000023,Orkney Islands,21530,201,245,-44,713,604,109,49,77,-28,3,21570,0
S12000024,Perth and Kinross,147740,1302,1646,-344,5136,4760,376,831,851,-20,-2,147750,0
S12000038,Renfrewshire,174310,1917,1984,-67,4088,4216,-128,332,541,-209,-6,173900,0
S12000026,Scottish Borders,113710,1144,1289,-145,3721,3240,481,250,423,-173,-3,113870,0
S12000027,Shetland Islands,23210,286,207,79,587,644,-57,60,92,-32,0,23200,0
S12000028,South Ayrshire,112910,1008,1441,-433,3571,2977,594,166,363,-197,-24,112850,0
S12000029,South Lanarkshire,314360,3342,3463,-121,7899,6890,1009,314,735,-421,23,314850,0
S12000030,Stirling,91020,815,880,-65,4375,4051,324,686,734,-48,29,91260,0
S12000039,West Dunbartonshire,90340,1033,1097,-64,2067,2389,-322,102,196,-94,-50,89810,0
S12000040,West Lothian,175990,2078,1483,595,4092,4460,-368,495,519,-24,-53,176140,0
N92000002,NORTHERN IRELAND,1823634,24527,14968,9559,10364,11815,-1451,12736,13623,-887,-1130,1829725,0
95T,Antrim,53835,738,414,324,1766,1780,-14,236,345,-109,-58,53978,0
95X,Ards,78550,860,711,149,2374,2464,-90,198,213,-15,-45,78549,0
95O,Armagh,60147,878,454,424,1696,1946,-250,441,300,141,-39,60423,0
95G,Ballymena,64551,784,628,156,1696,1766,-70,455,294,161,-36,64762,0
95D,Ballymoney,31551,437,237,200,973,1066,-93,65,63,2,-1,31659,0
95Q,Banbridge,48730,689,372,317,1503,1591,-88,148,150,-2,-52,48905,0
95Z,Belfast,280537,4001,2692,1309,14701,14113,588,4414,5481,-1067,368,281735,0
95V,Carrickfergus,39096,394,328,66,1222,1352,-130,121,145,-24,7,39015,0
95Y,Castlereagh,67716,791,630,161,3241,3093,148,204,260,-56,-86,67883,0
95C,Coleraine,58993,662,520,142,3313,3203,110,454,639,-185,-17,59043,0
95I,Cookstown,37411,557,277,280,1097,1106,-9,228,254,-26,-104,37552,0
95N,Craigavon,94597,1462,683,779,2237,2437,-200,916,504,412,-114,95474,0
95A,Derry,108586,1524,794,730,2404,2795,-391,476,784,-308,-7,108610,0
95R,Down,70440,948,549,399,2052,1953,99,199,244,-45,-68,70825,0
95M,Dungannon,58813,980,415,565,1521,1782,-261,949,667,282,-101,59298,0
95L,Fermanagh,62400,838,538,300,1563,1661,-98,451,405,46,-121,62527,0
95F,Larne,32191,365,269,96,910,948,-38,75,28,47,-76,32220,0
95B,Limavady,33761,440,253,187,735,847,-112,67,31,36,14,33886,0
95S,Lisburn,121687,1651,910,741,4049,4078,-29,429,420,9,-418,121990,0
95H,Magherafelt,45450,695,264,431,1178,1248,-70,209,165,44,-29,45826,0
95E,Moyle,17129,201,168,33,586,615,-29,53,42,11,-33,17111,0
95P,Newry and Mourne,100858,1526,713,813,2150,2349,-199,790,603,187,-47,101612,0
95U,Newtownabbey,85322,1083,725,358,3409,3352,57,381,593,-212,33,85558,0
95W,North Down,79420,899,782,117,2777,2657,120,350,479,-129,-104,79424,0
95K,Omagh,51830,609,361,248,1277,1508,-231,260,319,-59,50,51838,0
95J,Strabane,40033,515,281,234,795,966,-171,167,195,-28,-46,40022,0
