code,name,pop,employ,employRate,unemploy,unemployRate,inactivty,inactivityRate,claimantRate,jobs,density
K02000001,UNITED KINGDOM,40915160,29894472,71.6,2305364,7.2,9161525,22.7,3.3,31957000,0.78
K03000001,GREAT BRITAIN,39747176,29087490,71.7,2246785,7.2,8840048,22.6,3.2,31132000,0.78
E92000001,ENGLAND,34351400,25212411,71.9,1939063,7.1,7599299,22.5,3.1,27117000,0.79
E12000001,NORTH EAST,1667446,1171144,67.3,126835,9.8,429339,25.3,4.7,1122000,0.67
E06000047,County Durham,328615,225620,66.2,22276.09296367,9.0,87071,26.3,4.0,180000,0.55
E06000005,Darlington,65594,48481,74.3,4825.4701236,9.1,11565,18.3,4.8,55000,0.84
E06000001,Hartlepool,58285,37253,62.3,5841.942729,13.6,15750,27.0,7.0,30000,0.52
E06000002,Middlesbrough,89143,60226,62.4,8909.3626679,12.9,27224,28.6,7.3,66000,0.74
E06000057,Northumberland,193864,147080,74.1,11487.13953544,7.2,40719,21.3,3.7,117000,0.60
E06000003,Redcar and Cleveland,82830,58192,67.5,6685.839652,10.3,20951,25.0,5.8,45000,0.54
E06000004,Stockton-on-Tees,123314,88448,70.2,9308.9786774,9.5,27557,22.5,5.1,85000,0.69
E11000007,Tyne and Wear,725801,505844,66.0,57500,10.2,198502,26.4,4.7,543000,0.75
E08000037,Gateshead,127660,87617,69.5,8130.8960256,8.5,31322,25.2,4.4,97000,0.76
E08000021,Newcastle upon Tyne,196738,130619,60.6,15735.499198,10.8,68495,32.3,4.4,191000,0.99
E08000022,North Tyneside,128569,91895,69.1,8776.6753539,8.7,31616,24.3,4.0,79000,0.61
E08000023,South Tyneside,94594,70921,69.1,8952.9424308,11.2,22327,22.2,6.5,49000,0.52
E08000024,Sunderland,178240,124792,66.0,15906.648217,11.3,44742,24.2,4.8,127000,0.71
E12000002,NORTH WEST,4516101,3156348,69.0,269061,7.9,1108298,25.0,3.7,3398000,0.75
E06000008,Blackburn with Darwen,92993,55190,63.0,5224.3912077,8.6,27469,31.9,4.0,67000,0.72
E06000009,Blackpool,87743,57575,68.5,6222.5601435,9.8,19901,24.4,5.7,64000,0.72
E06000049,Cheshire East,228721,174402,72.5,9221.9991961,5.0,54073,23.7,2.1,196000,0.85
E06000050,Cheshire West and Chester,206854,157592,75.1,9592.0427258,5.7,41846,20.7,2.5,168000,0.81
E06000006,Halton,80567,53835,68.3,5056.8007355,8.6,19303,25.3,4.4,61000,0.75
E06000007,Warrington,130906,101707,79.2,6131.2870106,5.7,20862,16.6,3.0,129000,0.99
E10000006,Cumbria,305572,235600,74.6,12900,5.2,62910,21.0,2.3,265000,0.86
E07000026,Allerdale,58742,43651,76.3,2781.569672,6.0,10347,18.6,2.9,45000,0.76
E07000027,Barrow-in-Furness,42069,28425,63.3,2567.4690194,8.3,13952,31.1,3.6,31000,0.73
E07000028,Carlisle,68270,49578,71.7,3026.2116247,5.8,14354,21.7,2.5,67000,0.97
E07000029,Copeland,43889,31871,73.7,2281.4333453,6.7,9809,23.3,2.9,33000,0.75
E07000030,Eden,31774,29424,86.6,777.37848985,2.6,3468,11.0,1.1,29000,0.90
E07000031,South Lakeland,60828,52651,79.2,1435.2515979,2.7,10980,18.6,1.1,60000,0.97
E11000001,Greater Manchester,1754851,1212447,67.8,114900,8.7,448740,25.7,4.1,1302000,0.74
E08000001,Bolton,176091,115481,66.7,11904.905279,9.3,43938,26.2,4.4,113000,0.64
E08000002,Bury,116974,87025,72.9,6547.9431983,7.0,24871,21.4,3.5,73000,0.62
E08000003,Manchester,363760,241438,62.3,26892.654317,10.0,119154,31.1,4.9,354000,0.98
E08000004,Oldham,141073,94205,66.5,9383.0594313,9.1,37151,26.8,4.4,84000,0.59
E08000005,Rochdale,134360,83434,62.5,9828.8574105,10.5,38929,30.0,4.5,81000,0.60
E08000006,Salford,157410,102962,65.1,12310.9735,10.7,41085,26.4,4.6,127000,0.81
E08000007,Stockport,176588,140337,75.5,8741.8571753,5.9,36019,20.0,3.0,140000,0.79
E08000008,Tameside,140447,97616,67.5,9225.6632096,8.6,36154,25.8,4.1,76000,0.54
E08000009,Trafford,144538,106466,73.4,6960.7027497,6.1,30342,21.7,2.7,142000,0.99
E08000010,Wigan,203610,143483,71.7,13105.401698,8.4,41097,21.0,3.9,112000,0.55
E10000017,Lancashire,737662,517273,68.7,35900,6.5,190211,26.0,2.7,558000,0.75
E07000117,Burnley,54457,32899,63.1,3690.0560095,10.1,12989,24.9,4.2,38000,0.69
E07000118,Chorley,70201,53567,77.4,2834.3489566,5.0,12996,19.2,2.1,48000,0.68
E07000119,Fylde,44770,32801,70.6,1618.4261037,4.7,11694,26.8,2.2,46000,1.01
E07000120,Hyndburn,49871,31007,62.6,2751.8344743,8.2,15668,31.6,3.2,32000,0.64
E07000121,Lancaster,90366,64057,67.2,4399.0038833,6.4,27020,29.7,2.7,60000,0.67
E07000122,Pendle,56033,35682,61.7,3141.5139958,8.1,17468,31.5,3.0,36000,0.65
E07000123,Preston,93264,62357,70.0,5058.6869275,7.5,22023,25.2,3.2,91000,0.97
E07000124,Ribble Valley,34928,25497,68.3,1105.5349253,4.2,9389,26.8,1.1,35000,1.01
E07000125,Rossendale,43720,26313,62.6,2194.4128732,7.7,12192,29.0,2.8,25000,0.57
E07000126,South Ribble,68016,53595,72.6,3005.9954048,5.3,15015,21.4,1.9,60000,0.87
E07000127,West Lancashire,69035,47322,68.5,3574.5337055,7.0,18053,26.5,2.8,50000,0.73
E07000128,Wyre,63001,52176,73.2,2532.9149846,4.6,15704,23.1,2.2,37000,0.58
E11000002,Merseyside,890232,590727,66.7,63900,9.8,222983,25.9,4.7,588000,0.66
E08000011,Knowsley,93651,63318,66.0,7194.3989835,10.2,25260,26.7,5.3,63000,0.67
E08000012,Liverpool,323719,190267,61.2,26202.774489,12.1,91446,30.1,5.6,249000,0.77
E08000014,Sefton,166243,124944,72.7,11060.784106,8.1,33760,20.6,4.2,97000,0.58
E08000013,St. Helens,110324,79372,69.6,7863.0194242,9.0,26607,23.7,4.3,68000,0.61
E08000015,Wirral,196295,132826,68.9,11616.095732,8.0,45910,24.7,3.6,111000,0.56
E12000003,YORKSHIRE AND THE HUMBER,3394713,2497654,70.1,235635,8.6,802416,23.2,4.2,2479000,0.73
E06000011,East Riding of Yorkshire,202546,162071,74.9,10534.695637,6.1,41602,20.1,2.7,131000,0.64
E06000010,"Kingston upon Hull, City of",170781,116228,63.3,18160.071447,13.5,47251,26.3,7.6,126000,0.73
E06000012,North East Lincolnshire,99276,69757,68.6,8089.654239,10.4,23061,23.5,5.7,70000,0.70
E06000013,North Lincolnshire,104952,76624,74.3,6012.72663,7.3,20693,20.7,3.8,74000,0.70
E06000014,York,134565,108181,73.6,5752.6907018,5.0,32491,22.7,1.8,117000,0.88
E10000023,North Yorkshire,366322,284958,74.7,14200,4.7,77573,21.3,1.9,314000,0.85
E07000163,Craven,32751,25502,72.2,1208.9941898,4.5,8035,24.5,1.5,31000,0.92
E07000164,Hambleton,54032,39424,71.5,1779.187439,4.3,12471,23.5,1.3,48000,0.89
E07000165,Harrogate,96136,79685,77.6,2796.0888832,3.4,19578,20.0,1.2,95000,0.97
E07000166,Richmondshire,34728,25509,80.7,1033.9579201,3.9,4773,15.5,1.3,28000,0.81
E07000167,Ryedale,30859,26705,76.1,1127.1132175,4.0,7405,22.5,1.7,24000,0.79
E07000168,Scarborough,64221,46450,69.1,3866.9128791,7.7,14636,23.1,3.7,49000,0.75
E07000169,Selby,53595,41683,76.3,2369.8492225,5.4,10675,20.1,2.2,39000,0.73
E11000003,South Yorkshire,870513,616329,69.0,67200,9.8,198625,22.7,4.5,575000,0.66
E08000016,Barnsley,149405,105459,71.3,11241.236792,9.6,29320,20.1,4.4,78000,0.53
E08000017,Doncaster,191802,130691,69.0,13284.481706,9.2,43988,24.1,4.7,122000,0.63
E08000018,Rotherham,161348,108946,66.9,12494.778631,10.3,39594,24.9,4.8,105000,0.65
E08000019,Sheffield,367958,271233,69.0,30229.244863,10.0,85723,22.2,4.2,270000,0.74
E11000006,West Yorkshire,1445758,1063506,69.2,105700,9.0,361120,24.1,4.5,1072000,0.74
E08000032,Bradford,328986,226129,66.3,27444.118468,10.8,84925,25.5,5.5,213000,0.65
E08000033,Calderdale,130723,97904,73.7,8752.2763072,8.2,25850,20.0,4.3,97000,0.74
E08000034,Kirklees,271676,189281,69.3,16147.396945,7.9,69838,26.3,4.1,168000,0.62
E08000035,Leeds,504734,398825,69.1,39077.545553,8.9,136141,24.1,4.3,442000,0.88
E08000036,Wakefield,209639,151367,71.7,14235.354702,8.6,44366,21.4,3.9,151000,0.72
E12000004,EAST MIDLANDS,2913264,2143827,72.1,163946,7.1,640851,22.3,3.1,2191000,0.75
E06000015,Derby,160121,118213,72.1,10530.501302,8.2,34086,21.3,3.8,133000,0.83
E06000016,Leicester,223910,130655,61.2,20169.935288,13.4,58019,27.9,4.9,174000,0.78
E06000018,Nottingham,216977,139129,60.3,18875.762812,11.9,72157,31.6,5.7,213000,0.98
E06000017,Rutland,22577,18216,79.8,614.0605878,3.3,4028,18.4,1.1,18000,0.82
E10000007,Derbyshire,485393,375002,75.7,23000,5.8,99624,20.7,2.4,343000,0.70
E07000032,Amber Valley,77239,63406,78.0,3371.7753721,5.0,15087,19.4,2.2,56000,0.72
E07000033,Bolsover,48304,34105,71.7,2514.9766543,6.9,12256,26.2,2.9,30000,0.62
E07000034,Chesterfield,65761,48593,75.4,3799.1126422,7.3,13480,21.1,3.3,59000,0.90
E07000035,Derbyshire Dales,42439,35300,78.7,1349.6343555,3.7,7783,18.3,1.2,46000,1.07
E07000036,Erewash,71296,52515,74.0,4047.7188581,7.2,12933,18.6,3.0,44000,0.62
E07000037,High Peak,57854,45659,75.5,2724.2024731,5.6,11415,19.2,2.4,39000,0.67
E07000038,North East Derbyshire,60565,46829,74.5,2886.9854703,5.8,13695,22.7,2.5,30000,0.49
E07000039,South Derbyshire,61935,48595,77.6,2263.7146759,4.5,12975,21.5,1.7,39000,0.63
E10000018,Leicestershire,416892,312165,73.2,17400,5.3,92167,22.2,1.8,313000,0.75
E07000129,Blaby,59059,47297,78.9,2370.2204243,4.8,8337,14.3,1.7,55000,0.93
E07000130,Charnwood,112011,83265,71.5,4745.666822,5.4,27325,23.8,1.7,67000,0.60
E07000131,Harborough,53740,42430,76.4,1588.3310365,3.6,10176,19.4,1.1,42000,0.79
E07000132,Hinckley and Bosworth,66564,45899,68.9,2745.2786361,5.6,17879,27.1,2.1,42000,0.63
E07000133,Melton,31521,24127,74.9,1149.6438751,4.5,6190,20.0,1.8,25000,0.77
E07000134,North West Leicestershire,59219,40425,70.0,2847.3665066,6.6,14783,26.2,2.2,62000,1.05
E07000135,Oadby and Wigston,34778,28722,76.6,1906.133353,6.2,7477,20.7,2.3,20000,0.58
E10000019,Lincolnshire,441225,332967,73.7,22900,6.4,92439,21.5,2.9,323000,0.73
E07000136,Boston,40391,29832,82.9,1878.6590835,5.9,4719,13.7,2.6,35000,0.87
E07000137,East Lindsey,77674,61027,69.3,4184.7910362,6.4,20296,24.9,3.3,55000,0.70
E07000138,Lincoln,65638,47600,76.1,4474.359612,8.6,11806,19.9,4.4,58000,0.88
E07000139,North Kesteven,66119,51259,77.2,2667.8420614,4.9,11729,18.0,1.8,44000,0.67
E07000140,South Holland,53136,35262,70.5,2427.996745,6.4,12757,25.9,2.4,41000,0.76
E07000141,South Kesteven,83368,66935,74.0,4072.7173166,5.7,17463,20.7,2.3,60000,0.72
E07000142,West Lindsey,54899,41052,70.2,3155.2527879,7.1,13669,24.8,3.4,30000,0.55
E10000021,Northamptonshire,447445,353252,77.0,23800,6.3,76145,17.2,2.9,368000,0.82
E07000150,Corby,41615,27098,74.8,2917.2785864,9.7,5954,16.7,4.0,32000,0.78
E07000151,Daventry,49132,39445,76.4,2029.8260477,4.9,10357,20.8,1.9,40000,0.80
E07000152,East Northamptonshire,54400,44560,78.7,2471.9040085,5.3,7975,15.4,2.3,33000,0.61
E07000153,Kettering,59982,47741,81.1,3083.2515816,6.1,8742,15.2,3.2,45000,0.76
E07000154,Northampton,141251,107989,74.1,8847.9234708,7.6,27360,19.2,3.5,141000,1.00
E07000155,South Northamptonshire,54197,52158,86.4,1560.2729665,2.9,6794,11.9,1.1,40000,0.73
E07000156,Wellingborough,46868,34261,69.8,2916.18959,7.8,8963,19.1,3.9,37000,0.78
E10000024,Nottinghamshire,498724,364228,71.3,26800,6.8,112186,22.7,2.8,307000,0.62
E07000170,Ashfield,76582,53116,67.8,4642.9280479,8.0,19723,26.1,3.5,50000,0.66
E07000171,Bassetlaw,70878,50079,72.0,3673.7798535,6.8,16903,24.7,2.9,51000,0.72
E07000172,Broxtowe,70458,53213,70.7,3806.7285437,6.7,16839,22.7,2.6,40000,0.57
E07000173,Gedling,71784,51039,70.2,3886.5775989,7.1,16469,23.2,2.9,32000,0.45
E07000174,Mansfield,67145,41072,63.8,4656.391344,10.2,14036,22.5,3.9,39000,0.58
E07000175,Newark and Sherwood,72074,57944,76.9,3415.2101719,5.6,14375,20.5,2.4,50000,0.69
E07000176,Rushcliffe,69803,57765,77.3,2677.2216459,4.4,13841,19.1,1.6,45000,0.65
E12000005,WEST MIDLANDS,3560634,2471549,69.3,219141,8.1,836134,24.4,4.0,2659000,0.75
E06000019,"Herefordshire, County of",112405,85924,75.3,4527.2286358,5.0,21606,20.3,1.9,96000,0.85
E06000051,Shropshire,187665,145487,77.4,7706.85737465,5.0,31958,18.2,2.2,141000,0.75
E06000021,Stoke-on-Trent,160064,101193,64.9,11189.672868,10.0,42242,27.7,4.4,121000,0.75
E06000020,Telford and Wrekin,107631,75978,71.8,6313.8248512,7.7,22645,22.0,3.5,88000,0.82
E10000028,Staffordshire,536755,400055,74.1,21700,5.1,117391,22.6,2.1,374000,0.70
E07000192,Cannock Chase,63063,42244,69.0,2771.3413142,6.2,17339,28.5,2.7,42000,0.66
E07000193,East Staffordshire,72225,58295,82.8,2784.5804483,4.6,10165,14.8,2.1,61000,0.84
E07000194,Lichfield,61699,46789,73.7,2379.2777896,4.8,13373,22.3,1.6,51000,0.82
E07000195,Newcastle-under-Lyme,80053,57595,71.8,3799.6797614,6.2,19280,25.0,2.5,49000,0.61
E07000196,South Staffordshire,68412,52402,74.1,2933.5216174,5.3,15183,22.8,2.1,35000,0.52
E07000197,Stafford,82575,63028,76.7,2872.6180659,4.4,15480,19.8,1.7,69000,0.83
E07000198,Staffordshire Moorlands,59302,43397,70.6,2113.9373197,4.6,14240,24.0,1.6,34000,0.57
E07000199,Tamworth,49426,36305,72.0,2020.420964,5.3,12331,25.5,2.2,33000,0.67
E10000031,Warwickshire,342723,264662,75.6,13400,4.8,67181,20.0,2.0,299000,0.87
E07000218,North Warwickshire,38902,29388,74.0,1525.3793356,4.9,8285,21.1,1.9,42000,1.07
E07000219,Nuneaton and Bedworth,79456,60133,75.0,4492.5613174,7.0,13900,18.2,3.4,45000,0.57
E07000220,Rugby,62909,45268,76.9,2319.7018313,4.9,11884,20.7,1.9,52000,0.82
E07000221,Stratford-on-Avon,71335,60424,77.6,1823.0024589,2.9,14461,20.2,1.0,71000,0.99
E07000222,Warwick,90121,69449,74.5,3270.73666,4.5,18651,20.4,1.5,89000,0.98
E11000005,West Midlands (Metropolitan County),1760585,1114964,64.0,138800,11.1,468077,27.6,5.5,1275000,0.73
E08000025,Birmingham,699690,420680,60.3,63586.891491,13.1,199463,29.5,6.3,522000,0.75
E08000026,Coventry,216355,140619,65.7,12332.57067,8.1,62532,29.8,3.9,158000,0.75
E08000027,Dudley,193429,137999,71.1,14134.975243,9.3,39056,20.7,4.6,124000,0.64
E08000028,Sandwell,197517,122157,65.5,16052.392077,11.6,47591,25.8,6.1,131000,0.67
E08000029,Solihull,126922,96173,71.8,6665.2786682,6.5,29475,23.0,2.8,113000,0.89
E08000030,Walsall,167395,100056,62.0,12614.618999,11.2,46521,29.8,5.3,105000,0.63
E08000031,Wolverhampton,159277,97280,62.7,13388.107316,12.1,43439,28.7,7.1,122000,0.77
E10000034,Worcestershire,352806,283286,77.6,15500,5.2,65034,18.9,2.4,265000,0.75
E07000234,Bromsgrove,57760,49019,83.4,2118.8509971,4.1,7308,13.1,1.8,40000,0.69
E07000235,Malvern Hills,43663,37966,78.7,1707.3987001,4.3,8283,18.9,1.8,33000,0.75
E07000236,Redditch,54752,41063,77.6,2723.5761449,6.2,10382,20.0,2.9,40000,0.72
E07000237,Worcester,65963,49278,77.8,3023.8669583,5.8,11740,19.1,2.9,57000,0.86
E07000238,Wychavon,71425,57961,74.7,2684.4422607,4.4,15025,21.0,1.7,58000,0.81
E07000239,Wyre Forest,59243,47999,74.6,3266.4979054,6.4,12296,21.0,3.3,38000,0.63
E12000006,EAST OF ENGLAND,3712467,2945368,75.5,180780,5.8,735810,19.7,2.5,2869000,0.77
E06000055,Bedford,101891,83563,76.3,6577.6900275,7.3,16994,16.0,3.6,79000,0.78
E06000056,Central Bedfordshire,168932,134165,77.4,6862.2702942,4.9,32433,19.6,1.9,103000,0.62
E06000032,Luton,134729,94162,68.0,8899.166546,8.6,34027,24.9,3.7,91000,0.68
E06000031,Peterborough,120755,86005,74.6,7542.525735,8.1,22408,19.7,4.3,107000,0.89
E06000033,Southend-on-Sea,109503,75051,70.1,6624.7216256,8.1,25266,24.3,3.8,75000,0.68
E06000034,Thurrock,103801,82134,73.8,6596.4936266,7.4,22232,20.5,3.5,65000,0.63
E10000003,Cambridgeshire,406820,332163,78.6,15500,4.5,72966,17.9,1.6,323000,0.79
E07000008,Cambridge,92098,75460,76.3,3652.0015039,4.6,18103,18.9,1.4,100000,1.09
E07000009,East Cambridgeshire,52625,44059,78.5,1978.7479434,4.3,11095,20.4,1.7,33000,0.61
E07000010,Fenland,59021,43309,73.1,2989.7250313,6.5,12402,22.0,2.9,36000,0.61
E07000011,Huntingdonshire,108933,92101,84.5,3963.9438689,4.1,13268,12.6,1.6,81000,0.74
E07000012,South Cambridgeshire,94143,77234,77.8,2936.7194616,3.7,18098,19.1,1.0,74000,0.78
E10000012,Essex,873675,708795,75.0,43600,5.8,177497,19.7,2.5,653000,0.75
E07000066,Basildon,111987,86600,73.6,6951.3505637,7.4,22345,19.7,3.6,87000,0.78
E07000067,Braintree,92862,68670,73.1,4311.1028422,5.9,20260,22.3,2.2,57000,0.61
E07000068,Brentwood,45885,43171,80.7,1687.977264,3.8,8557,17.8,1.6,39000,0.84
E07000069,Castle Point,52866,42909,76.8,2645.3249598,5.8,9409,17.6,2.4,29000,0.54
E07000070,Chelmsford,107677,94197,80.6,4840.3091021,4.9,18088,16.0,2.1,94000,0.87
E07000071,Colchester,114726,95432,73.1,5985.9860504,5.9,25686,20.6,2.3,92000,0.81
E07000072,Epping Forest,79186,62379,74.5,3795.9887368,5.7,15358,19.4,2.4,56000,0.71
E07000073,Harlow,52809,42169,76.1,3380.2176246,7.4,9264,17.0,4.0,48000,0.90
E07000074,Maldon,37638,30734,70.2,1691.0336584,5.2,9257,23.1,2.0,27000,0.70
E07000075,Rochford,50810,43689,74.8,2156.6776023,4.7,9834,19.2,1.8,31000,0.60
E07000076,Tendring,76387,55367,65.5,4807.0662666,8.0,23328,28.7,3.9,49000,0.63
E07000077,Uttlesford,50842,43478,86.7,1339.5054129,3.0,6111,12.6,1.1,46000,0.90
E10000015,Hertfordshire,724182,581946,77.7,30800,5.0,133262,18.5,2.0,605000,0.84
E07000095,Broxbourne,59502,43294,76.0,2959.6334108,6.4,12006,21.1,2.7,44000,0.75
E07000096,Dacorum,94329,79356,82.1,3689.4365611,4.4,14970,16.2,1.9,70000,0.74
E07000242,East Hertfordshire,89814,74658,81.0,2982.5277397,3.8,14937,16.6,1.5,64000,0.71
E07000098,Hertsmere,63117,51683,76.4,2680.4911488,4.9,13507,21.0,2.0,54000,0.86
E07000099,North Hertfordshire,80887,63088,75.6,3680.1394146,5.5,14575,18.1,2.0,52000,0.65
E07000240,St Albans,88562,78532,82.8,3009.7885644,3.7,12806,14.3,1.4,79000,0.89
E07000243,Stevenage,55347,42708,76.6,3372.253296,7.3,9247,17.1,3.4,47000,0.86
E07000102,Three Rivers,55708,43208,72.2,2238.7132491,4.9,12998,22.6,1.6,39000,0.71
E07000103,Watford,61866,51477,82.4,2875.8560343,5.3,6742,11.1,2.5,76000,1.25
E07000241,Welwyn Hatfield,75050,53942,68.5,3316.3427296,5.8,21474,28.5,2.0,79000,1.07
E10000020,Norfolk,523530,418641,74.1,27400,6.2,112061,20.9,2.9,415000,0.79
E07000143,Breckland,78674,62769,75.9,3931.620101,5.9,13725,17.6,2.4,51000,0.65
E07000144,Broadland,74572,61954,75.9,2708.8843485,4.2,15692,20.5,1.6,56000,0.75
E07000145,Great Yarmouth,58627,47435,75.5,4223.9503167,8.2,11484,19.5,5.4,43000,0.74
E07000146,King's Lynn and West Norfolk,87164,60720,71.0,4588.8281899,7.0,19426,23.7,2.9,68000,0.77
E07000147,North Norfolk,56376,44949,75.1,2354.5260646,5.0,12722,22.6,2.2,42000,0.73
E07000148,Norwich,92956,79183,70.3,6742.7499731,7.8,26163,23.8,4.0,97000,1.06
E07000149,South Norfolk,75161,61631,77.7,2892.2488734,4.5,12849,17.3,1.7,58000,0.77
