code,name,pop,employ,employRate,unemploy,unemployRate,inactivty,inactivityRate,claimantRate,jobs,density
E10000029,Suffolk,444649,348743,75.2,20300,5.5,86664,19.7,2.4,355000,0.80
E07000200,Babergh,51745,38709,69.7,2161.791282,5.3,13332,25.1,1.9,37000,0.72
E07000201,Forest Heath,40555,34274,78.5,1645.367226,4.6,7217,17.0,1.7,27000,0.70
E07000202,Ipswich,87167,63698,72.9,5555.674862,8.0,17254,20.1,3.8,73000,0.83
E07000203,Mid Suffolk,58866,51996,81.0,2016.7742401,3.7,10191,17.8,1.5,43000,0.73
E07000204,St Edmundsbury,68010,54698,82.1,2695.6029532,4.7,9280,14.6,1.9,66000,0.96
E07000205,Suffolk Coastal,71667,59495,77.2,2424.3663284,3.9,13490,18.8,1.3,61000,0.85
E07000206,Waveney,66639,45873,67.0,3817.1269537,7.7,15900,24.1,3.6,47000,0.70
E12000007,LONDON,5756197,3954705,70.5,352158,8.2,1265440,23.2,3.3,5229000,0.92
E13000001,Inner London,2415734,1604123,69.0,151300,8.6,551454,24.3,3.7,3166000,1.33
E09000007,Camden,164905,121668,64.7,9305.4677083,7.1,55056,30.2,2.6,344000,2.11
E09000001,City of London,5682,#,#,#,#,#,#,1.8,449000,77.46
E09000012,Hackney,185479,103099,63.7,12337.288046,10.7,45063,28.3,4.6,112000,0.62
E09000013,Hammersmith and Fulham,130808,92975,73.0,7609.6075783,7.6,26874,21.9,3.3,147000,1.10
E09000014,Haringey,186654,111251,68.8,11704.569089,9.5,38242,24.5,4.5,80000,0.44
E09000019,Islington,161867,106075,68.6,10478.37842,9.0,37670,25.1,3.6,206000,1.30
E09000020,Kensington and Chelsea,109508,78629,63.7,5953.9580152,7.0,34326,30.0,2.3,144000,1.30
E09000022,Lambeth,233796,171622,78.4,15631.21911,8.3,31661,14.7,4.4,152000,0.66
E09000023,Lewisham,199618,141090,73.8,12846.722166,8.3,36424,19.3,4.3,78000,0.39
E09000025,Newham,223227,98110,61.8,13091.237599,11.8,47346,30.2,4.2,97000,0.44
E09000028,Southwark,219600,144024,66.3,16516.928171,10.3,54113,25.3,4.2,270000,1.25
E09000030,Tower Hamlets,201220,119633,64.6,15670.970211,11.6,47600,25.9,4.4,253000,1.30
E09000032,Wandsworth,228578,170524,76.4,11700.917101,6.4,38566,17.7,2.4,136000,0.60
E09000033,Westminster,164792,144255,68.7,8411.7009654,5.5,57223,28.4,2.4,698000,4.25
E13000002,Outer London,3340463,2350582,71.5,200300,7.9,713986,22.3,3.0,2063000,0.62
E09000002,Barking and Dagenham,122471,76949,63.2,11206.532154,12.7,32600,27.2,4.8,55000,0.46
E09000003,Barnet,240658,176865,72.5,12537.796565,6.6,54949,23.5,2.4,154000,0.65
E09000004,Bexley,148903,108019,72.2,8982.732576,7.7,30583,21.0,2.5,78000,0.53
E09000005,Brent,217632,114518,65.9,11888.03582,9.4,46113,27.1,4.0,123000,0.57
E09000006,Bromley,199797,160481,77.7,9921.1015606,5.8,36430,18.1,2.2,122000,0.62
E09000008,Croydon,243639,171217,73.4,16520.028766,8.8,43324,19.0,3.4,141000,0.58
E09000009,Ealing,232416,153942,67.1,16009.902084,9.4,54755,24.5,3.4,148000,0.64
E09000010,Enfield,207310,132670,66.4,13643.453115,9.3,54306,28.2,4.1,117000,0.57
E09000011,Greenwich,178820,101275,63.8,12293.622974,10.8,43347,28.2,3.7,82000,0.46
E09000015,Harrow,158337,110160,69.2,8587.1408801,7.2,36937,23.9,2.1,79000,0.50
E09000016,Havering,151429,115396,74.1,9508.5081441,7.6,30516,20.0,2.8,84000,0.56
E09000017,Hillingdon,188599,134359,71.0,10759.362761,7.4,41359,22.8,2.3,213000,1.15
E09000018,Hounslow,179167,129918,75.8,9843.1517636,7.0,30603,18.0,2.5,160000,0.90
E09000021,Kingston upon Thames,112845,95488,76.9,5294.2056376,5.3,21960,18.3,1.5,81000,0.73
E09000024,Merton,138168,116938,75.8,7630.4445636,6.1,29360,19.5,2.4,89000,0.65
E09000026,Redbridge,187742,128401,67.3,11641.487064,8.3,47259,25.7,2.9,88000,0.47
E09000027,Richmond upon Thames,124750,106186,78.7,4946.6390248,4.5,22614,17.5,1.5,92000,0.74
E09000029,Sutton,126782,107004,79.8,6915.8741269,6.1,19833,15.1,2.2,79000,0.62
E09000031,Waltham Forest,180998,110796,70.3,12185.633007,9.9,37138,24.0,4.5,77000,0.43
E12000008,SOUTH EAST,5511357,4301547,75.5,246059,5.4,1092511,20.1,2.0,4477000,0.81
E06000036,Bracknell Forest,76705,65942,81.6,3044.8664191,4.4,11930,15.1,1.7,66000,0.86
E06000043,Brighton and Hove,195711,136585,72.6,10934.11805,7.4,39057,21.4,2.6,152000,0.78
E06000046,Isle of Wight,80824,59954,70.8,5053.6412366,7.8,18705,23.2,3.7,59000,0.72
E06000035,Medway,175880,119711,68.9,11361.157253,8.7,39804,23.8,3.3,100000,0.57
E06000042,Milton Keynes,166961,126480,73.9,9181.1030958,6.8,35045,20.9,2.8,162000,0.98
E06000044,Portsmouth,140149,108255,71.7,8530.8056741,7.3,33979,23.1,3.0,123000,0.87
E06000038,Reading,108637,84911,73.7,5182.5707047,5.8,25142,22.4,2.5,108000,1.00
E06000039,Slough,94338,66686,70.9,6001.1726717,8.3,20381,21.9,3.1,88000,0.93
E06000045,Southampton,167086,123595,69.4,10489.856221,7.8,43058,24.7,2.7,122000,0.73
E06000037,West Berkshire,97696,85400,82.4,3375.0961729,3.8,14411,14.6,1.3,104000,1.06
E06000040,Windsor and Maidenhead,91061,77340,78.4,3335.4258128,4.1,17804,18.8,1.5,85000,0.93
E06000041,Wokingham,98993,88839,78.4,3287.1059004,3.6,19938,18.4,1.0,81000,0.81
E10000002,Buckinghamshire,319766,251456,77.1,12400,4.7,59665,19.3,1.6,254000,0.79
E07000004,Aylesbury Vale,115049,88990,77.7,4058.3364399,4.4,21470,19.6,1.4,83000,0.73
E07000005,Chiltern,54741,44799,79.7,1920.2397167,4.1,9841,18.5,1.4,40000,0.73
E07000006,South Bucks,40924,33161,70.2,1430.3933209,4.1,10501,24.4,1.2,40000,0.97
E07000007,Wycombe,109052,84506,78.1,4945.7086536,5.5,17853,17.2,1.9,91000,0.83
E10000011,East Sussex,312868,233783,74.0,15400,6.2,65011,21.8,2.5,217000,0.69
E07000061,Eastbourne,59659,44360,76.5,3721.5197678,7.7,9596,17.3,3.2,46000,0.77
E07000062,Hastings,57152,37778,66.9,3951.1208243,9.5,14361,26.0,4.6,38000,0.65
E07000063,Lewes,58252,44998,73.9,2545.6709067,5.4,13085,23.2,2.0,39000,0.67
E07000064,Rother,49443,37749,73.1,2247.207818,5.6,12349,25.0,2.3,32000,0.65
E07000065,Wealden,88362,68898,77.5,2945.5634444,4.1,15620,18.9,1.1,62000,0.70
E10000014,Hampshire,823577,662733,78.5,36100,4.8,146272,18.2,1.5,674000,0.82
E07000084,Basingstoke and Deane,110205,90317,81.4,4339.7247522,4.6,16358,15.0,1.6,92000,0.83
E07000085,East Hampshire,71024,54583,76.8,2464.1375296,4.3,12794,19.3,1.2,56000,0.79
E07000086,Eastleigh,80707,66006,81.2,2647.4882825,3.9,12419,15.8,1.4,68000,0.85
E07000087,Fareham,69295,58639,81.3,2339.4871501,3.8,9874,14.7,1.3,58000,0.83
E07000088,Gosport,52085,35266,68.9,2627.802805,6.9,11982,24.3,2.4,24000,0.45
E07000089,Hart,57318,48866,80.9,1555.1738398,3.1,9898,17.5,0.9,47000,0.83
E07000090,Havant,72638,54458,73.4,3903.5175265,6.7,15289,21.9,2.7,46000,0.64
E07000091,New Forest,101557,91651,83.0,3641.6452743,3.8,14810,14.4,1.4,78000,0.76
E07000092,Rushmoor,63440,46677,73.6,2944.5667487,5.9,15229,24.2,1.9,52000,0.82
E07000093,Test Valley,72518,59064,78.1,2352.0048658,3.8,13070,18.8,1.3,63000,0.87
E07000094,Winchester,72790,57206,77.7,2248.5763368,3.8,14549,20.4,1.0,90000,1.23
E10000016,Kent,919534,680282,72.5,48000,6.6,193626,21.6,2.6,661000,0.72
E07000105,Ashford,74316,59108,76.3,3613.0485758,5.8,14339,20.0,2.2,59000,0.80
E07000106,Canterbury,99337,67115,63.0,5282.7068751,7.3,29220,28.7,2.0,70000,0.71
E07000107,Dartford,64893,49477,78.5,3206.8091799,6.1,9119,14.7,2.3,62000,0.96
E07000108,Dover,67685,47839,68.1,3746.2675002,7.3,16607,25.3,3.3,37000,0.55
E07000109,Gravesham,65090,48367,75.8,3996.3425936,7.6,12409,19.8,3.3,32000,0.49
E07000110,Maidstone,99350,79994,78.8,4796.982122,5.7,15386,16.2,2.0,83000,0.84
E07000111,Sevenoaks,70447,54113,74.2,2512.2141782,4.4,14375,20.7,1.3,55000,0.78
E07000112,Shepway,65229,45746,73.2,3704.2881367,7.5,13138,22.3,3.5,46000,0.71
E07000113,Swale,86073,62478,72.7,5611.5966221,8.2,16813,20.2,3.3,52000,0.61
E07000114,Thanet,80220,54051,62.9,6228.6697387,10.3,24179,29.2,5.5,48000,0.60
E07000115,Tonbridge and Malling,75462,58545,74.8,3026.0575944,4.9,15440,20.7,1.6,60000,0.80
E07000116,Tunbridge Wells,71432,53449,76.5,2263.9696648,4.1,12601,18.8,1.1,56000,0.78
E10000025,Oxfordshire,428850,340496,76.8,14900,4.2,83871,19.9,1.3,383000,0.89
E07000177,Cherwell,91186,73136,76.6,3112.2755487,4.1,17822,19.7,1.2,77000,0.85
E07000178,Oxford,110870,86062,73.8,4942.4677979,5.4,25164,21.9,1.7,118000,1.08
E07000179,South Oxfordshire,83377,66307,78.5,2360.8403467,3.4,15321,19.3,1.0,69000,0.82
E07000180,Vale of White Horse,76499,58747,75.9,2397.5564705,3.9,15181,20.8,1.1,66000,0.87
E07000181,West Oxfordshire,66918,56244,81.2,2125.2281412,3.6,10383,16.1,1.1,52000,0.78
E10000030,Surrey,719013,582380,76.8,24700,4.1,143837,19.9,1.3,628000,0.87
E07000207,Elmbridge,80016,69178,80.1,2460.6929757,3.4,14708,17.8,1.1,66000,0.82
E07000208,Epsom and Ewell,48329,38289,73.5,1679.7881777,4.2,12443,25.6,1.3,35000,0.74
E07000209,Guildford,92495,68251,72.0,3065.2308674,4.3,21930,23.9,1.2,86000,0.93
E07000210,Mole Valley,51437,42710,77.9,1488.7365776,3.4,10876,20.5,1.1,54000,1.05
E07000211,Reigate and Banstead,88425,75341,78.6,3188.0850785,4.1,16962,18.1,1.5,74000,0.84
E07000212,Runnymede,54754,51324,82.1,1920.2337218,3.6,9532,15.9,1.2,61000,1.13
E07000213,Spelthorne,61822,50046,79.4,2388.9894889,4.6,11009,18.3,1.5,44000,0.71
E07000214,Surrey Heath,54341,43049,77.8,2083.8178831,4.6,7646,14.8,1.3,57000,1.04
E07000215,Tandridge,51871,42379,80.1,1776.0598875,4.0,8107,16.1,1.3,39000,0.76
E07000216,Waverley,72517,53948,70.2,2381.5894151,4.2,17846,25.0,1.0,58000,0.79
E07000217,Woking,63006,47865,74.4,2294.1611514,4.6,12778,21.1,1.3,54000,0.85
E10000032,West Sussex,493708,406719,78.6,19800,4.6,80975,16.6,1.7,412000,0.83
E07000223,Adur,37200,31371,79.1,1839.9377852,5.5,5231,14.1,2.1,24000,0.63
E07000224,Arun,86451,76027,83.9,3517.2374993,4.4,11971,14.4,2.1,54000,0.62
E07000225,Chichester,66700,60841,78.9,2686.29677,4.2,10534,15.7,1.6,69000,1.04
E07000226,Crawley,71804,54461,71.3,3700.1047967,6.4,15033,20.1,2.2,86000,1.20
E07000227,Horsham,80100,66534,80.8,2874.3508941,4.1,11977,15.2,1.3,57000,0.71
E07000228,Mid Sussex,87381,70377,83.8,2318.0754022,3.2,10342,12.7,0.9,67000,0.77
E07000229,Worthing,64072,47108,70.2,2863.8715141,5.7,15887,24.9,2.2,55000,0.86
E12000009,SOUTH WEST,3319221,2570269,74.7,145448,5.4,688500,21.0,2.1,2692000,0.81
E06000022,Bath and North East Somerset,116040,90286,74.1,4584.4260774,4.8,26515,22.6,1.7,100000,0.87
E06000028,Bournemouth,124958,82164,71.6,5811.8840724,6.6,26590,24.0,2.6,87000,0.70
E06000023,"Bristol, City of",297671,235315,70.3,18259.569115,7.2,79970,24.4,3.4,270000,0.92
E06000052,Cornwall,324579,251869,71.1,13965.1653443,5.3,83879,25.2,2.3,255000,0.78
E06000053,Isles of Scilly,1358,~,#,-,-,~,#,0.4,1000,0.83
E06000024,North Somerset,122510,103743,75.8,5587.1726382,5.1,26641,20.1,2.1,87000,0.71
E06000026,Plymouth,169264,126652,71.9,10451.512345,7.6,35725,20.8,2.9,130000,0.77
E06000029,Poole,90797,70607,78.3,3206.0743458,4.3,16686,19.1,1.8,86000,0.94
E06000025,South Gloucestershire,170840,138354,78.4,7196.1824565,4.9,29384,17.0,1.6,147000,0.87
E06000030,Swindon,139911,110230,78.7,6715.7330086,5.7,23655,17.3,2.8,115000,0.83
E06000027,Torbay,77198,57401,69.6,4182.0872571,6.8,20254,25.8,3.7,59000,0.76
E06000054,Wiltshire,294858,226240,77.0,11284.897045,4.8,49962,17.9,1.6,213000,0.72
E10000008,Devon,452511,349692,75.3,16200,4.4,92878,21.2,1.6,376000,0.83
E07000040,East Devon,74393,56191,77.3,1930.7973773,3.3,14923,20.8,1.2,56000,0.75
E07000041,Exeter,83274,57283,72.1,3685.4593844,6.0,18710,24.0,1.9,89000,1.09
E07000042,Mid Devon,46872,38800,77.9,1636.6161963,4.0,8587,19.4,1.5,31000,0.65
E07000043,North Devon,55275,42328,74.2,1928.6928127,4.4,12155,22.9,1.6,50000,0.90
E07000044,South Hams,48877,42459,78.6,1448.805169,3.3,9001,18.5,1.2,48000,0.97
E07000045,Teignbridge,74026,57152,76.1,2769.7621033,4.6,13462,18.8,1.6,56000,0.75
E07000046,Torridge,38135,29327,68.7,1847.0592695,5.9,9326,23.4,2.4,25000,0.66
E07000047,West Devon,31659,26152,77.6,941.70474655,3.5,6714,21.0,1.4,22000,0.69
E10000009,Dorset,237280,183271,77.0,7700,4.0,41440,18.6,1.4,192000,0.81
E07000048,Christchurch,25766,18743,70.1,950.78747937,4.8,6770,26.9,1.6,22000,0.84
E07000049,East Dorset,48129,41592,76.6,1438.4782226,3.3,10004,20.4,1.1,38000,0.78
E07000050,North Dorset,41276,31137,86.7,1145.6979771,3.5,3783,11.3,1.1,31000,0.75
E07000051,Purbeck,26333,20114,73.9,826.51274426,3.9,5282,19.9,1.3,23000,0.85
E07000052,West Dorset,56225,44682,77.5,1378.9167616,3.0,9822,18.6,1.0,57000,1.01
E07000053,Weymouth and Portland,39551,27003,74.8,1917.2572549,6.6,5779,16.2,2.5,22000,0.55
E10000013,Gloucestershire,377379,296717,76.6,17000,5.4,71941,19.4,2.3,323000,0.85
E07000078,Cheltenham,75555,57376,73.4,3805.6851842,6.2,16846,22.2,2.5,72000,0.95
E07000079,Cotswold,50168,42598,77.4,1526.1426812,3.5,9753,19.5,1.2,47000,0.95
E07000080,Forest of Dean,50697,39283,75.1,2383.6051008,5.7,10164,20.2,2.2,32000,0.62
E07000081,Gloucester,80257,59985,76.1,4704.0944129,7.3,15610,20.2,3.5,67000,0.83
E07000082,Stroud,69533,56700,80.2,2582.115694,4.4,10370,15.4,1.7,60000,0.86
E07000083,Tewkesbury,51169,40775,78.0,2039.6303966,4.8,9198,18.3,1.9,45000,0.89
E10000027,Somerset,322067,247728,75.6,13300,5.1,62980,20.5,1.8,250000,0.77
E07000187,Mendip,66837,47668,70.0,2570.4593345,5.1,16196,25.5,1.6,50000,0.74
E07000188,Sedgemoor,70955,55096,75.0,3551.4132199,6.1,12731,18.6,2.6,46000,0.65
E07000189,South Somerset,97056,79893,80.9,3499.5354624,4.2,15445,16.7,1.4,80000,0.82
E07000190,Taunton Deane,68311,53101,79.6,3000.2878081,5.3,11382,17.6,2.0,59000,0.87
E07000191,West Somerset,18908,11970,55.9,695.59034468,5.5,7226,39.4,1.8,15000,0.76
W92000004,WALES,1926617,1367426,69.5,109529,7.4,467495,24.7,3.6,1371000,0.71
W06000001,Isle of Anglesey,41459,29526,69.7,2408.6163407,7.5,10054,24.9,4.4,26000,0.62
W06000002,Gwynedd,74299,53641,70.1,3506.0074824,6.1,18830,25.7,2.9,63000,0.84
W06000003,Conwy,67122,48142,71.8,3120.7287236,6.1,15573,24.5,3.6,47000,0.70
W06000004,Denbighshire,56322,43615,72.9,3098.0603151,6.6,12484,21.9,3.6,44000,0.77
W06000005,Flintshire,95489,71154,72.4,4839.630922,6.4,21273,22.6,2.9,77000,0.80
W06000006,Wrexham,85342,65660,74.2,4399.5160962,6.3,18542,21.7,3.7,61000,0.72
W06000023,Powys,77885,64336,76.9,2639.748559,3.9,16012,20.9,1.9,66000,0.83
W06000008,Ceredigion,48173,33678,63.6,1618.7920586,4.6,16486,34.2,1.6,34000,0.70
W06000009,Pembrokeshire,72728,51207,70.3,3458.7778138,6.3,16930,24.8,3.1,56000,0.77
W06000010,Carmarthenshire,111359,79601,67.8,5483.3982863,6.4,29359,26.7,2.8,75000,0.67
W06000011,Swansea,153440,101310,65.4,8688.6626886,7.9,42871,28.5,3.2,110000,0.72
W06000012,Neath Port Talbot,87955,58660,67.2,5251.760703,8.2,22018,25.8,3.5,52000,0.58
W06000013,Bridgend,88353,61542,71.3,4664.9008279,7.0,19647,23.3,3.3,60000,0.68
W06000014,The Vale of Glamorgan,78442,58579,72.6,4339.1580395,6.9,16142,20.9,2.9,45000,0.57
W06000015,Cardiff,239239,173716,69.3,15262.393813,8.1,60165,24.7,3.9,213000,0.90
W06000016,Rhondda Cynon Taf,149070,102365,68.2,10708.418011,9.5,33595,22.9,4.1,84000,0.56
W06000024,Merthyr Tydfil,37687,23565,64.9,2556.2352596,9.8,10097,28.3,5.2,24000,0.64
W06000018,Caerphilly,113144,77672,68.9,7127.273239,8.4,27423,25.1,4.6,57000,0.50
W06000019,Blaenau Gwent,44332,27604,63.8,3930.2742372,12.5,11219,26.4,6.6,21000,0.48
W06000020,Torfaen,57084,38496,67.1,3998.3473628,9.4,14062,25.0,4.4,38000,0.67
W06000021,Monmouthshire,55595,41241,73.4,2208.9589164,5.1,11798,22.3,2.1,41000,0.74
W06000022,Newport,92098,62116,68.1,6221.3735114,9.1,22915,25.7,5.2,76000,0.82
S92000003,SCOTLAND,3469159,2507653,71.5,198193,7.3,773254,22.7,3.5,2643000,0.76
S12000033,Aberdeen City,160248,119966,75.3,6255.7620225,5.0,30601,19.9,1.6,191000,1.20
S12000034,Aberdeenshire,165234,132497,78.6,4315.9502254,3.2,28731,18.1,1.0,116000,0.70
S12000041,Angus,71517,50360,72.8,3091.68215,5.8,14376,21.5,2.5,41000,0.58
S12000035,Argyll & Bute,53602,39879,74.6,2320.7542875,5.5,10952,21.7,2.9,48000,0.91
S12000005,Clackmannanshire,33088,22062,66.5,2265.8565081,9.3,8209,25.1,4.8,16000,0.47
S12000006,Dumfries & Galloway,90978,65799,71.1,4723.234848,6.7,21202,23.8,3.2,68000,0.74
S12000042,Dundee City,98958,58325,59.6,7489.4669599,11.4,29676,31.2,5.0,77000,0.78
S12000008,East Ayrshire,78268,53444,68.7,6502.8057173,10.8,16537,21.7,5.3,44000,0.56
S12000045,East Dunbartonshire,65534,49986,75.8,2566.8936428,4.9,13350,20.9,2.0,29000,0.43
S12000010,East Lothian,63530,47779,75.1,3132.8146878,6.2,12310,20.3,2.7,31000,0.50
S12000011,East Renfrewshire,56225,42641,74.4,2633.8791315,5.8,10622,19.3,1.9,21000,0.38
S12000036,"Edinburgh, City of",340805,261911,72.7,18532.460246,6.6,78328,22.3,2.9,363000,1.07
S12000013,Na h-Eileanan an Iar,16672,12138,75.0,762.92556037,5.9,2954,19.1,2.8,12000,0.72
S12000014,Falkirk,101636,74757,73.6,6201.8425091,7.7,20775,20.9,3.9,66000,0.64
S12000015,Fife,233701,169548,70.8,15003.480364,8.1,53325,22.9,4.0,144000,0.61
S12000046,Glasgow City,416902,268206,64.6,28981.185259,9.8,121165,29.3,4.9,416000,1.00
S12000017,Highland,145877,110297,74.2,5784.1814188,5.0,29739,21.4,2.1,120000,0.81
S12000018,Inverclyde,51636,35524,69.7,3154.4409157,8.2,12524,25.2,4.5,30000,0.58
S12000019,Midlothian,53495,39190,73.7,2915.6967127,6.9,10871,21.2,3.3,32000,0.59
S12000020,Moray,59269,42888,77.7,2112.0584229,4.7,9807,18.4,1.9,42000,0.71
S12000021,North Ayrshire,85438,53998,62.7,7118.3581982,11.6,23470,28.1,5.9,42000,0.49
S12000044,North Lanarkshire,220297,152163,70.8,15919.993683,9.5,45124,21.5,4.6,132000,0.60
S12000023,Orkney Islands,13486,10842,81.2,~,3.4,2189,17.5,1.1,12000,0.88
S12000024,Perth & Kinross,91367,74509,75.7,3885.8134384,5.0,18621,19.8,2.0,70000,0.76
S12000038,Renfrewshire,112706,81914,72.6,7290.169676,8.2,23574,21.4,4.3,75000,0.66
S12000026,Scottish Borders,69139,55066,76.0,2860.2964135,4.9,14748,21.4,2.7,50000,0.72
S12000027,Shetland Islands,14740,12517,85.5,~,2.9,1555,10.9,1.0,14000,0.93
S12000028,South Ayrshire,68959,51882,73.2,4305.9853577,7.7,13975,20.5,4.0,50000,0.72
S12000029,South Lanarkshire,203404,151671,72.6,13012.5807,7.9,42275,21.0,3.9,130000,0.64
S12000030,Stirling,59035,42051,71.6,3068.5769533,6.8,13101,22.9,2.7,48000,0.82
S12000039,West Dunbartonshire,58511,37974,64.7,4486.4553167,10.6,16063,27.8,5.7,32000,0.55
S12000040,West Lothian,114902,85869,74.2,6736.8070634,7.3,22505,19.7,3.3,82000,0.71
