code,name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
E09000007,Camden,202567,203972,204254,207341,211088,211032,211520,210273,212924,214725,220087,224962,7648
E09000001,City of London,7359,7280,7115,7118,7131,7254,7607,7429,7472,7338,7412,7604,257379
E09000012,Hackney,207246,210961,212405,213581,216512,220193,224480,231041,236622,241739,247182,252119,178685
E09000013,Hammersmith and Fulham,169374,171989,171510,172083,173292,174675,176472,177088,180116,180842,182445,179850,263386
E09000014,Haringey,221251,224474,225027,226472,229271,233174,236793,244459,249805,252742,255540,258912,215667
E09000019,Islington,179387,180118,180899,180831,183477,185283,188636,192089,196704,200129,206285,211047,155594
E09000020,Kensington and Chelsea,162199,163827,165268,165752,168375,165245,162883,162579,161893,160463,158251,155930,314242
E09000022,Lambeth,273372,273041,272195,274262,277620,280524,284964,289126,294050,297650,304481,310200,286180
E09000023,Lewisham,254336,253662,251936,252455,254930,257976,261188,266508,270418,272525,276938,281556,318227
E09000025,Newham,249411,255282,256224,254434,253798,257994,266285,276478,286447,299171,310460,314084,298464
E09000028,Southwark,256712,256269,255242,257257,261811,267553,272626,276973,281120,283777,288717,293530,272890
E09000030,Tower Hamlets,201090,207031,208651,211154,213382,218400,225251,231893,240495,248520,256012,263003,310516
E09000032,Wandsworth,271742,274917,276828,278615,283229,287538,291440,294305,299347,302620,307710,308312,226841
E09000033,Westminster,203329,208100,211009,214557,223132,222829,220619,218673,216980,217187,219582,223858,194352
E09000002,Barking and Dagenham,165654,166357,166210,165610,166275,167157,169031,172452,177580,182838,187029,190560,369088
E09000003,Barnet,319481,320552,321802,323723,327541,330801,334837,339212,345829,351438,357538,363956,236687
E09000004,Bexley,218757,219123,220016,220917,222391,223280,224625,226652,228146,230711,232774,234271,317264
E09000005,Brent,269620,269871,268323,268335,270939,276504,283273,290901,298118,304785,312245,314660,317899
E09000006,Bromley,296218,296668,297253,297307,299421,300963,302625,304968,306924,308560,310554,314036,372752
E09000008,Croydon,335112,335415,335919,337134,339052,340449,344029,349308,352763,357951,364815,368886,342494
E09000009,Ealing,307276,309242,308108,310073,312774,315329,318671,324022,329966,334073,339314,340671,320524
E09000010,Enfield,277266,280745,281835,282217,284779,287429,291534,297443,301971,307648,313935,317287,264008
E09000011,Greenwich,217460,221476,224303,227190,230494,233990,236535,239748,243672,249171,255483,260068,243372
E09000015,Harrow,210044,212336,213728,216267,221109,223632,226355,229567,233495,237451,240499,242377,242080
E09000016,Havering,224717,225054,225248,225769,226990,228198,229789,231793,234127,236234,237927,239733,286806
E09000017,Hillingdon,245616,247063,248054,248691,251430,254387,256981,261051,265665,269465,275499,281756,262407
E09000018,Hounslow,215976,216888,216498,219440,223776,228126,233454,237907,243366,249236,254927,259052,166793
E09000021,Kingston upon Thames,149045,149642,149683,151055,152489,153667,154485,156027,157307,158648,160436,163906,203223
E09000024,Merton,191106,190561,189298,188908,190583,192520,194260,195859,198136,199136,200543,202225,288272
E09000026,Redbridge,241893,244273,247412,248774,251560,255590,259965,265452,270435,275088,281395,284617,191365
E09000027,Richmond upon Thames,174311,175441,177182,179312,181508,182520,182421,182927,184394,186304,187527,189145,195914
E09000029,Sutton,181461,181265,181267,181094,182103,182882,184174,185860,188167,189321,191123,193630,265797
E09000031,Waltham Forest,222015,223776,224115,225002,226747,230731,235665,242098,248140,254009,259742,262566,8792626
E12000008,South East,8023449,8045192,8087924,8133100,8202896,8270861,8351391,8426399,8490922,8577771,8652784,8724737,116567
E06000036,Bracknell Forest,109650,109490,109475,109189,109487,109896,110702,111455,111916,112893,113696,115058,278112
E06000043,Brighton and Hove,249949,249743,249846,249847,252863,255564,258161,262019,265584,269495,272952,275762,138393
E06000046,Isle of Wight,132925,133908,134783,135891,137179,137727,138289,138675,138361,138364,138392,138748,271105
E06000035,Medway,249704,250262,251159,251459,252098,253478,255824,258224,260230,262738,264885,268218,255692
E06000042,Milton Keynes,212707,215061,217597,219521,223462,227225,231033,235625,240178,245450,249895,252358,207460
E06000044,Portsmouth,188043,188476,190283,193483,196318,195964,194907,196036,198983,202700,205433,206836,159247
E06000038,Reading,144684,143915,144070,144590,146940,148321,149678,151460,152326,154296,155339,157112,143024
E06000039,Slough,120577,120927,120869,120833,122874,125200,127991,131453,134742,137800,140713,141838,242141
E06000045,Southampton,219539,220459,221989,223589,226655,226698,227223,228447,230017,233085,235870,239428,155392
E06000037,West Berkshire,144494,143913,144297,145147,146492,148107,150056,152024,153039,153943,154148,154486,146335
E06000040,Windsor and Maidenhead,133541,133631,134201,135066,136446,138012,139743,141345,142424,143988,145098,145822,157866
E06000041,Wokingham,150334,149445,148794,149008,149598,150548,152144,153191,154165,154650,154943,156663,516096
E07000004,Aylesbury Vale,165920,165631,165693,165886,166731,168108,169540,170659,171418,172892,174880,177793,181071
E07000005,Chiltern,89238,88951,89479,90067,90605,91471,92226,92471,92526,92915,92652,92954,93250
E07000006,South Bucks,61923,61790,62005,62757,63573,64116,64981,65443,66018,66705,67060,67435,67941
E07000007,Wycombe,162050,162396,162987,163416,164617,165653,166754,167798,168851,170308,171958,173306,173834
E10000011,East Sussex,493130,496927,501148,505007,508519,511525,515891,519197,520370,523651,527209,531201,534402
E07000061,Eastbourne,89836,90829,92163,93772,95500,96532,97616,98361,98228,98510,99308,100049,100537
E07000062,Hastings,85392,85873,86596,86854,87419,87516,88024,88722,89293,89623,90173,90345,90754
E07000063,Lewes,92247,92901,93227,93794,93832,94162,94782,95455,96114,97079,97584,98690,99479
E07000064,Rother,85471,86174,86718,87183,87684,88221,89262,90120,90123,90578,90729,91088,91054
E07000065,Wealden,140184,141150,142444,143404,144084,145094,146207,146539,146612,147861,149415,151029,152578
E10000014,Hampshire,1241431,1245073,1250515,1255419,1263075,1272498,1283441,1293565,1301706,1312347,1322118,1330153,1337730
E07000084,Basingstoke and Deane,152874,153641,154833,155737,157499,158765,160183,162036,164135,166364,168550,170492,171852
E07000085,East Hampshire,109369,109606,109561,109960,110482,111131,112296,113172,114261,115350,116010,116400,117088
E07000086,Eastleigh,116257,116430,116696,117066,118089,119436,120596,121312,122377,124240,125852,126764,127722
E07000087,Fareham,108152,108451,108545,108473,108077,108397,109399,110205,110832,111382,111931,112802,113614
E07000088,Gosport,76676,76831,77585,78099,78646,79579,80627,81730,81961,82307,82669,83276,83503
E07000089,Hart,83590,84238,85180,86367,87519,88874,89866,90566,90986,91276,91662,92162,92720
E07000090,Havant,116886,117173,117346,117362,117542,117824,118282,119039,119394,120105,120783,121271,121562
E07000091,New Forest,169506,170595,171256,171769,172423,173269,174048,174548,175432,176323,176789,177382,178062
E07000092,Rushmoor,90892,89877,89727,89358,90040,91065,91891,92589,92572,93397,94354,94870,94971
E07000093,Test Valley,109965,110387,111271,112049,112811,113530,114433,115101,115251,115814,116698,117032,118372
E07000094,Winchester,107264,107844,108515,109179,109947,110628,111820,113267,114505,115789,116820,117702,118264
E10000016,Kent,1331194,1338968,1349046,1361384,1375217,1389634,1407791,1423308,1435269,1451905,1466466,1480166,1493512
E07000105,Ashford,103024,104377,105636,107264,109409,111459,113286,114556,115694,116975,118405,120116,121723
E07000106,Canterbury,135381,136483,138608,140578,141918,143490,145197,146073,146396,148653,150600,153399,155307
E07000107,Dartford,85956,86403,87011,88277,89990,91174,92242,93946,95266,96337,97604,98940,100569
E07000108,Dover,104646,104883,105784,106878,107475,107904,109041,109848,110061,111072,111718,111765,112338
E07000109,Gravesham,95791,95448,95569,95907,96884,97574,98496,99394,100188,101076,101766,102764,103752
E07000110,Maidstone,139116,140338,141246,142242,143353,145307,147741,149723,151594,153739,155764,157297,159325
E07000111,Sevenoaks,109242,109105,109280,110045,111266,112500,113132,113298,113754,114509,115351,116400,117035
E07000112,Shepway,96345,97205,98540,99949,101509,102469,103902,104782,105716,106962,108199,108700,108832
E07000113,Swale,123123,124172,125348,125890,126516,127568,129721,131720,133030,134980,136324,137670,139171
E07000114,Thanet,126750,127675,128140,128782,129301,129601,130637,131750,132337,133508,134402,135661,136766
E07000115,Tonbridge and Malling,107771,108673,109494,110441,111719,113536,115469,116967,118459,120054,121087,121912,123001
E07000116,Tunbridge Wells,104049,104206,104390,105131,105877,107052,108927,111251,112774,114040,115246,115542,115693
E10000025,Oxfordshire,607277,609491,616031,620412,627568,630873,635094,638784,643095,648688,654791,660772,666082
E07000177,Cherwell,131988,132586,133977,134947,135876,137159,138120,139440,140301,141337,142252,142822,143659
E07000178,Oxford,135509,136625,139917,141593,145383,144513,144188,144433,145478,147907,150245,152527,154773
E07000179,South Oxfordshire,128307,128754,128920,129359,130050,130676,131626,132611,133466,133915,134961,135541,136015
E07000180,Vale of White Horse,115772,115565,116134,116475,117390,118209,118994,119284,120026,120823,121891,122764,123646
E07000181,West Oxfordshire,95701,95961,97083,98038,98869,100316,102166,103016,103824,104706,105442,107118,107989
E10000030,Surrey,1060163,1059472,1062774,1065142,1071781,1082841,1095639,1104242,1113665,1125804,1135367,1143509,1152114
E07000207,Elmbridge,122709,123784,124990,125677,127286,128763,129756,129908,129991,130937,131428,131512,132179
E07000208,Epsom and Ewell,67077,67554,67738,68386,69172,70028,71337,72514,73106,74278,75191,76052,77131
E07000209,Guildford,129774,129297,128763,128575,129043,130673,131656,132401,133584,135547,137580,139710,141009
E07000210,Mole Valley,80283,80498,81233,81498,81808,82319,83219,84256,84732,85413,85637,85846,86309
E07000211,Reigate and Banstead,126661,126272,126665,127222,127760,129190,131224,132857,134934,136741,138375,139888,141073
E07000212,Runnymede,78053,77649,77550,76948,77018,77169,78330,78694,79373,80283,80501,82189,83448
E07000213,Spelthorne,90404,90292,90225,90127,90571,91512,92425,93182,94001,94848,95852,96744,97456
E07000214,Surrey Heath,80309,80358,80938,81631,82321,83284,84214,84345,85142,85843,86378,86614,86904
E07000215,Tandridge,79332,78906,79002,79050,79373,80027,80983,81543,82099,82756,83178,83693,84612
E07000216,Waverley,115668,115573,116024,116230,116357,117038,118098,119012,120106,120957,121754,121884,122426
E07000217,Woking,89893,89289,89646,89798,91072,92838,94397,95530,96597,98201,99493,99377,99567
E10000032,West Sussex,754976,757263,760883,765987,770798,777402,784283,790978,796039,803154,808919,815119,821356
E07000223,Adur,59714,60050,59993,59961,59821,60337,60564,60721,61023,61216,61334,61929,62505
E07000224,Arun,140998,142385,143458,145149,145985,146750,147725,148458,148891,149467,149811,151384,152818
E07000225,Chichester,106494,106990,107512,108157,108773,109686,110603,111796,112474,113411,113995,114521,115301
E07000226,Crawley,100440,99195,98712,98887,99703,100746,101610,102827,103843,105478,107053,108302,108971
E07000227,Horsham,122272,122694,123798,124920,125949,127190,128294,129073,129790,130916,131540,132160,132878
E07000228,Mid Sussex,127397,127713,128623,129461,130503,132061,133976,135734,137209,138897,140188,141162,142766
E07000229,Worthing,97661,98236,98787,99452,100064,100632,101511,102369,102809,103769,104998,105661,106117
E12000009,South West,4943364,4976129,5006653,5038284,5086121,5119840,5170537,5205044,5226821,5261270,5300831,5339637,5377595
E06000022,Bath and North East Somerset,169158,169819,170361,170585,171274,171204,172635,173565,173360,174267,175538,177643,180097
E06000028,Bournemouth,163560,164600,164207,163949,165998,166716,170098,171973,174251,179308,183450,186744,188733
E06000023,"Bristol, City of",390049,389735,391454,395743,405407,408428,411901,414822,418990,423044,428074,432451,437492
E06000052,Cornwall,499937,504644,508579,511810,515098,517984,521957,524973,526365,529794,533760,537914,541319
E06000053,Isles of Scilly,2140,2170,2155,2210,2210,2264,2293,2333,2251,2228,2224,2264,2251
E06000024,North Somerset,188840,189718,191323,192776,194745,197028,199498,200853,201711,202967,203091,204385,206135
E06000026,Plymouth,240954,242550,243390,244037,247516,249178,251237,252488,253116,254227,256589,258026,259175
E06000029,Poole,138368,138998,138961,139089,139853,141136,142883,144226,145420,146754,148075,148615,149009
E06000025,South Gloucestershire,245985,247755,249176,251226,253178,255258,256640,257970,259730,261471,263417,266147,269107
E06000030,Swindon,180129,182110,184368,186390,189684,192345,196942,201521,204371,206939,209709,211934,214037
E06000027,Torbay,129965,130521,131238,131937,132178,131857,132172,132070,131641,131443,131193,131492,132075
E06000054,Wiltshire,433508,438386,442633,445632,448670,453041,458840,464007,466711,470199,474319,476816,479634
E10000008,Devon,705568,709940,714055,718827,725620,729592,736326,739921,740988,743908,747709,753157,758052
E07000040,East Devon,125713,126562,127170,128444,129797,130641,132023,132594,132378,132666,133272,134359,134898
E07000041,Exeter,111180,110636,111064,110697,112970,113128,114109,114167,114419,115712,117063,119397,121800
E07000042,Mid Devon,69887,70651,71472,72607,73323,74138,75599,76406,76981,77391,77936,78335,78670
E07000043,North Devon,87674,88477,89570,90433,91146,91744,92355,92775,93046,93293,93976,93847,93825
E07000044,South Hams,81929,82058,81994,82085,82489,82985,83363,83516,83368,83516,83563,83597,83850
E07000045,Teignbridge,121167,121810,122424,122964,123460,123508,124066,124396,124451,124359,124271,125020,126001
E07000046,Torridge,59129,59774,60663,61479,61954,62615,63100,63501,63477,63686,63973,64743,65089
E07000047,West Devon,48889,49972,49698,50118,50481,50833,51711,52566,52868,53285,53655,53859,53919
E10000009,Dorset,391497,395606,398682,400773,403444,405855,409550,411044,410844,412015,413813,414940,416721
E07000048,Christchurch,44901,45119,45315,45468,45765,46049,46481,46959,47277,47698,47916,47987,48368
E07000049,East Dorset,83922,84827,85335,85925,85988,86142,86946,87244,87010,87165,87301,87755,87899
E07000050,North Dorset,61988,62943,63958,64867,65904,66964,68094,68098,67798,67922,69002,69348,69883
E07000051,Purbeck,44433,44563,44306,44371,44614,44813,45058,45234,45087,45165,45184,45289,45411
E07000052,West Dorset,92495,93679,95060,95626,96385,97091,97981,98472,98626,99033,99275,99532,100026
E07000053,Weymouth and Portland,63758,64475,64708,64516,64788,64796,64990,65037,65046,65032,65135,65029,65134
E10000013,Gloucestershire,564999,566445,569281,572641,576908,580702,585415,587610,590480,594097,598289,602159,605654
E07000078,Cheltenham,110024,109775,109282,109763,110948,111637,112511,112971,113967,114901,115645,116080,115900
E07000079,Cotswold,80387,80475,81212,81795,82205,82597,83202,83016,82765,82614,83180,83562,84079
E07000080,Forest of Dean,80057,80125,80729,81091,81482,81733,82004,82099,81994,81896,82200,82731,82937
E07000081,Gloucester,109947,110593,111545,112583,113876,115296,117225,118394,119348,120660,121921,123439,124562
E07000082,Stroud,108060,108229,108840,109477,110122,110509,111069,111375,111853,112491,113074,113363,113920
E07000083,Tewkesbury,76524,77248,77673,77932,78275,78930,79404,79755,80553,81535,82269,82984,84256
E10000027,Somerset,498707,503132,506790,510659,514338,517252,522150,525668,526592,528609,531581,534950,538104
E07000187,Mendip,103964,104634,105158,105798,106339,106833,107755,108567,108604,109006,109406,109938,110181
E07000188,Sedgemoor,106030,107051,107785,108765,109698,110712,112102,112885,112934,113786,114919,116071,117544
E07000189,South Somerset,151059,152165,153463,154967,156485,157420,158956,160171,160678,160871,162113,163012,163943
E07000190,Taunton Deane,102585,104117,105172,105945,106814,107353,108231,108801,109312,109946,110555,111370,112116
E07000191,West Somerset,35069,35165,35212,35184,35002,34934,35106,35244,35064,35000,34588,34559,34320
W92000004,Wales,2910232,2922876,2937721,2957422,2969309,2985668,3006299,3025867,3038872,3049971,3063758,3074067,3082412
W06000001,Isle of Anglesey,67806,67879,68140,68753,69095,69388,69700,69916,69884,69833,69913,70049,70091
W06000002,Gwynedd,116844,117344,118022,118721,118641,119070,119398,119746,120344,121155,121523,122142,121911
W06000003,Conwy,109674,110624,111248,112272,112374,113004,113778,114371,114623,114682,115326,115515,115835
W06000004,Denbighshire,93070,93478,93872,94010,93978,93983,94530,94739,94444,94152,93919,94066,94510
W06000005,Flintshire,148629,148947,149176,149681,149890,150125,150816,151501,151985,152080,152666,152743,153240
W06000006,Wrexham,128540,128595,128914,129005,129249,130311,131263,132371,133295,134009,135070,135919,136399
W06000023,Powys,126398,127145,128295,129568,130210,131037,131982,132865,133090,132878,133071,132952,132705
W06000008,Ceredigion,75417,75500,75581,75775,75485,75342,75326,74971,74642,75217,75293,76046,75964
W06000009,Pembrokeshire,113058,114146,115147,116428,117204,118278,119640,121134,121563,121974,122613,123035,123261
W06000010,Carmarthenshire,173652,174628,176133,177487,178229,179504,181314,182517,182846,183004,183961,184317,184681
W06000011,Swansea,223463,224755,226350,228176,229347,230793,232460,234139,235601,237311,238691,239633,240332
W06000012,Neath Port Talbot,134380,134931,136233,137144,137670,138323,138957,139481,139537,139638,139880,140108,139898
W06000013,Bridgend,128735,129741,131032,131947,132893,134164,135949,137175,137783,138471,139410,139740,140480
W06000014,The Vale of Glamorgan,119277,120279,120980,122101,122877,123642,124732,125713,126162,126435,126679,126831,127159
W06000015,Cardiff,310088,312021,313246,317099,321001,323766,328196,332790,337656,341402,345442,348493,351710
W06000016,Rhondda Cynon Taf,231910,231795,232361,233971,234070,234493,234471,234724,234743,234459,234373,235599,236114
W06000024,Merthyr Tydfil,56207,55996,55955,56020,56259,56627,57173,57688,58156,58493,58851,58898,59021
W06000018,Caerphilly,169546,170776,171363,172361,172777,173741,174987,176259,177159,178101,178782,179022,179247
W06000019,Blaenau Gwent,70000,69452,69228,69242,69188,69610,69685,69820,69850,69798,69812,69822,69789
W06000020,Torfaen,90912,90700,90719,90516,90644,90820,90974,91094,91199,91060,91190,91372,91407
W06000021,Monmouthshire,84984,85417,86605,87829,88611,89090,89592,90109,90557,91016,91508,91659,92100
W06000022,Newport,137642,138727,139121,139316,139617,140557,141376,142744,143753,144803,145785,146106,146558
S92000003,Scotland,5064200,5066000,5068500,5084300,5110200,5133100,5170000,5202900,5231900,5262200,5299900,5313600,5327700
S12000033,Aberdeen City,211910,210680,209280,207820,208690,209620,212460,214020,217020,219730,222460,224970,227130
S12000034,Aberdeenshire,226940,228830,231250,234690,237570,241180,244390,246840,249020,251430,253650,255540,257740
S12000041,Angus,108370,108810,108710,110170,111340,112500,113540,114490,114830,115410,116200,116210,116240
S12000035,Argyll and Bute,91300,91020,90930,90580,90350,90870,90790,89910,89450,88620,88930,86900,88050
S12000005,Clackmannanshire,48070,48140,48140,48670,49160,49540,50600,51190,51290,51330,51500,51280,51280
S12000006,Dumfries and Galloway,147780,147670,147860,148690,149620,149780,150370,151010,151160,151100,151410,150830,150270
S12000042,Dundee City,145460,144370,144070,143100,143600,143370,143700,144290,145170,146060,147200,147800,148170
S12000008,East Ayrshire,120310,119920,119860,120210,120280,120450,120950,121590,122110,122410,122690,122720,122440
S12000045,East Dunbartonshire,108250,107350,107000,106540,106040,105590,105050,104940,104960,104920,105000,105880,105860
S12000010,East Lothian,90180,91050,91640,92170,92730,93850,95560,97470,98340,99140,99920,100850,101360
S12000011,East Renfrewshire,89410,89930,89870,89790,89880,89750,89840,89870,89980,90410,90810,91030,91500
S12000036,City of Edinburgh,449020,447490,445290,445870,449480,452060,456040,458520,463240,469940,477940,482640,487500
S12000013,Eilean Siar,26450,26350,26430,26650,26930,27060,27210,27280,27420,27600,27690,27560,27400
S12000014,Falkirk,145270,145930,146800,148300,150130,151090,152320,153290,154210,155140,156250,156800,157140
S12000015,Fife,349770,350740,351350,353050,355450,357260,358750,360050,361410,362610,365300,366220,366910
S12000046,Glasgow City,578710,576450,572260,569560,569240,568480,571760,576200,581620,586500,593060,595080,596550
S12000017,Highland,208920,209760,211640,214560,218060,220780,224000,226980,228750,230730,232730,232910,232950
S12000018,Inverclyde,84150,83730,83300,82690,82680,82320,82110,82000,81670,81510,81220,80680,80310
S12000019,Midlothian,80950,80870,80280,80230,80050,80000,80370,81540,81900,82360,83450,84240,84700
S12000020,Moray,87000,87690,88830,89380,90100,90780,91440,92830,93170,93690,93470,92910,94350
S12000021,North Ayrshire,135820,135890,136310,136500,136690,136790,137420,137910,137830,137790,138090,137560,136920
S12000044,North Lanarkshire,321180,322520,323700,325400,327140,328740,331170,333290,335160,336280,337720,337870,337730
S12000023,Orkney Islands,19220,19340,19540,19830,20070,20340,20580,20740,20940,21220,21420,21530,21570
S12000024,Perth and Kinross,134950,135130,135960,136900,138060,139390,141140,143130,144370,145600,146850,147740,147750
S12000038,Renfrewshire,172850,172300,171560,171470,171430,171270,171860,172640,173020,173700,174700,174310,173900
S12000026,Scottish Borders,106950,107530,108400,109460,110250,110860,112200,113360,113590,113690,113880,113710,113870
S12000027,Shetland Islands,21960,22000,21960,22090,22250,22210,22350,22480,22790,23060,23240,23210,23200
S12000028,South Ayrshire,112160,111690,111550,111840,112030,112100,112380,112610,112490,112600,112980,112910,112850
S12000029,South Lanarkshire,302340,302780,303480,305670,306850,308450,310380,311320,312180,313180,313900,314360,314850
S12000030,Stirling,86200,86630,87090,86910,87510,88090,88430,88540,88690,89550,90330,91020,91260
S12000039,West Dunbartonshire,93320,93040,92470,91970,91530,91420,91370,91190,91080,90800,90610,90340,89810
S12000040,West Lothian,159030,160370,161690,163540,165010,167110,169470,171380,173040,174090,175300,175990,176140
N92000002,Northern Ireland,1688838,1697534,1704924,1714042,1727733,1743113,1761683,1779152,1793333,1804833,1814318,1823634,1829725
95T,Antrim,48753,49057,49542,50051,50582,51059,52003,52716,53218,53384,53632,53835,53978
95X,Ards,73337,73802,74037,74366,75036,75767,76584,77179,77698,77855,78047,78550,78549
95O,Armagh,54484,54689,54879,55171,55871,56785,57439,58124,58638,59137,59651,60147,60423
95G,Ballymena,58871,59355,59887,60310,60873,61447,62149,62900,63377,63723,64127,64551,64762
95D,Ballymoney,26865,27306,27719,28257,28901,29392,30048,30399,30806,30975,31276,31551,31659
95Q,Banbridge,41484,42264,42979,43644,44564,45290,46280,46884,47459,47821,48333,48730,48905
95Z,Belfast,276987,276824,275505,274599,273738,274239,275485,277681,278997,280489,280922,280537,281735
95V,Carrickfergus,37756,38052,38289,38567,38809,39056,39319,39345,39271,39282,39102,39096,39015
95Y,Castlereagh,66656,66428,66394,66203,66064,66009,65991,66382,66842,67126,67418,67716,67883
95C,Coleraine,56069,56609,57089,57344,57548,57894,58058,58390,58599,58868,58959,58993,59043
95I,Cookstown,32600,32891,33243,33533,33992,34587,35272,35852,36247,36581,37098,37411,37552
95N,Craigavon,80950,81281,81972,82901,84449,86086,87774,89621,91104,92242,93334,94597,95474
95A,Derry,105535,105986,106174,106463,106945,107060,107533,108046,108377,108323,108261,108586,108610
95R,Down,64072,64591,64934,65786,66517,67142,68157,68887,69273,69698,69934,70440,70825
95M,Dungannon,47830,48274,48582,49240,50509,52158,54032,55288,56320,57263,58100,58813,59298
95L,Fermanagh,57634,57963,58397,58834,58995,59640,60359,60971,61283,61803,62006,62400,62527
95F,Larne,30825,30874,31005,31048,31298,31518,31802,31924,32126,32152,32136,32191,32220
95B,Limavady,32548,32796,33120,33242,33418,33620,33581,33363,33256,33254,33610,33761,33886
95S,Lisburn,109301,109647,109937,110885,112382,113588,114755,116242,117979,119442,120486,121687,121990
95H,Magherafelt,39791,40182,40647,41033,41559,42123,43009,43692,44107,44664,45132,45450,45826
95E,Moyle,15892,16116,16224,16366,16473,16532,16688,16852,16955,17010,17062,17129,17111
95P,Newry and Mourne,87641,88383,89437,90625,91810,93410,95264,96869,98115,99136,100003,100858,101612
95U,Newtownabbey,80007,80445,80814,81016,81768,82157,82753,83406,84204,84660,85019,85322,85558
95W,North Down,76558,76725,76728,76891,77539,78055,78153,78166,78691,79004,79245,79420,79424
95K,Omagh,48117,48700,48935,49089,49591,49704,49986,50523,50715,51116,51495,51830,51838
95J,Strabane,38275,38294,38455,38578,38502,38795,39209,39450,39676,39825,39930,40033,40022
