code,value
E06000001,1.0
E06000002,-7.8
E06000003,-1.6
E06000004,-1.0
E06000005,-0.2
E06000006,-0.8
E06000007,3.2
E06000008,-8.6
E06000009,-2.9
E06000010,-7.0
E06000011,2.1
E06000012,-0.8
E06000013,-1.1
E06000014,5.3
E06000015,-4.5
E06000016,-8.7
E06000017,5.6
E06000018,-8.4
E06000019,0.9
E06000020,-0.4
E06000021,-5.5
E06000022,4.2
E06000023,0.3
E06000024,7.5
E06000025,4.8
E06000026,-1.7
E06000027,6.1
E06000028,0.3
E06000029,0.8
E06000030,0.7
E06000031,-7.3
E06000032,-9.4
E06000033,3.2
E06000034,-0.2
E06000035,3.6
E06000036,3.1
E06000037,3.2
E06000038,-3.2
E06000039,-9.6
E06000040,-1.2
E06000041,3.2
E06000042,5.4
E06000043,-4.8
E06000044,-8.2
E06000045,-8.5
E06000046,4.6
E06000047,1.2
E06000049,1.1
E06000050,1.6
E06000051,4.3
E06000052,5.7
E06000053,-2.2
E06000054,3.8
E06000055,6.7
E06000056,8.6
E06000048,1.0
E07000004,9.3
E07000005,3.4
E07000006,8.3
E07000007,-1.8
E07000008,-5.4
E07000009,2.6
E07000010,-1.7
E07000011,2.7
E07000012,3.2
E07000026,1.7
E07000027,-7.1
E07000028,-0.0
E07000029,-3.3
E07000030,0.8
E07000031,3.5
E07000032,5.0
E07000033,-0.6
E07000034,2.1
E07000035,2.3
E07000036,2.0
E07000037,-0.9
E07000038,0.8
E07000039,9.4
E07000040,9.3
E07000041,2.0
E07000042,1.0
E07000043,0.1
E07000044,5.4
E07000045,9.3
E07000046,6.3
E07000047,3.4
E07000048,13.9
E07000049,6.6
E07000050,4.1
E07000051,2.8
E07000052,9.8
E07000053,2.1
E07000061,5.4
E07000062,2.1
E07000063,11.3
E07000064,8.0
E07000065,12.3
E07000066,5.2
E07000067,1.9
E07000068,4.5
E07000069,5.6
E07000070,1.7
E07000071,0.8
E07000072,3.6
E07000073,-3.8
E07000074,3.9
E07000075,3.1
E07000076,9.7
E07000077,13.2
E07000078,-4.6
E07000079,8.0
E07000080,3.2
E07000081,0.8
E07000082,6.6
E07000083,12.5
E07000084,1.2
E07000085,7.4
E07000086,3.4
E07000087,8.1
E07000088,0.9
E07000089,3.6
E07000090,3.1
E07000091,5.3
E07000092,-7.4
E07000093,8.8
E07000094,4.8
E07000095,-1.1
E07000096,4.5
E07000098,2.6
E07000099,5.3
E07000102,6.2
E07000103,11.6
E07000105,7.9
E07000106,9.8
E07000107,8.1
E07000108,3.6
E07000109,0.9
E07000110,6.5
E07000111,2.6
E07000112,1.6
E07000113,3.6
E07000114,5.8
E07000115,5.0
E07000116,-0.8
E07000117,-5.9
E07000118,10.2
E07000119,10.7
E07000120,-6.6
E07000121,-4.3
E07000122,-3.0
E07000123,-8.3
E07000124,6.4
E07000125,2.6
E07000126,-2.6
E07000127,1.1
E07000128,6.7
E07000129,2.4
E07000130,3.2
E07000131,11.8
E07000132,3.2
E07000133,0.1
E07000134,5.8
E07000135,0.7
E07000136,-4.9
E07000137,4.2
E07000138,-0.7
E07000139,5.8
E07000140,2.0
E07000141,8.3
E07000142,7.4
E07000143,5.3
E07000144,4.1
E07000145,-0.6
E07000146,3.9
E07000147,5.8
E07000148,-5.7
E07000149,12.2
E07000150,5.3
E07000151,0.3
E07000152,6.0
E07000153,3.5
E07000154,-4.3
E07000155,7.0
E07000156,-2.8
E07000163,4.2
E07000164,2.6
E07000165,2.4
E07000166,-1.7
E07000167,7.5
E07000168,-0.2
E07000169,4.5
E07000170,7.7
E07000171,2.9
E07000172,0.2
E07000173,6.4
E07000174,-1.0
E07000175,6.0
E07000176,10.9
E07000177,-1.0
E07000178,-10.1
E07000179,2.9
E07000180,4.3
E07000181,4.2
E07000187,3.4
E07000188,9.2
E07000189,5.1
E07000190,6.1
E07000191,-1.2
E07000192,-2.3
E07000193,-0.6
E07000194,5.2
E07000195,6.0
E07000196,6.2
E07000197,2.2
E07000198,4.4
E07000199,-5.4
E07000200,7.1
E07000201,13.9
E07000202,-3.8
E07000203,6.4
E07000204,2.3
E07000205,6.9
E07000206,5.2
E07000207,5.4
E07000208,8.6
E07000209,-5.2
E07000210,9.1
E07000211,4.2
E07000212,3.8
E07000213,1.9
E07000214,2.9
E07000215,9.8
E07000216,3.4
E07000217,-0.5
E07000218,-2.8
E07000219,-1.4
E07000220,1.4
E07000221,2.6
E07000222,-4.3
E07000223,8.4
E07000224,9.9
E07000225,7.5
E07000226,-5.5
E07000227,6.2
E07000228,9.8
E07000229,6.9
E07000234,8.3
E07000235,9.8
E07000236,-6.0
E07000237,-0.5
E07000238,5.9
E07000239,3.3
E07000100,3.8
E07000104,1.7
E07000097,5.9
E07000101,1.1
E08000001,-2.1
E08000002,-2.2
E08000003,-7.2
E08000004,-2.8
E08000005,-5.4
E08000006,-2.6
E08000007,1.4
E08000008,-2.0
E08000009,4.5
E08000010,0.5
E08000011,-1.5
E08000012,-4.8
E08000013,-0.6
E08000014,-0.0
E08000015,1.1
E08000016,5.0
E08000017,-1.1
E08000018,-1.9
E08000019,-5.2
E08000021,-0.2
E08000022,2.1
E08000023,0.2
E08000024,-3.2
E08000025,-5.2
E08000026,-1.8
E08000027,-0.2
E08000028,-1.2
E08000029,6.4
E08000030,-1.3
E08000031,-3.2
E08000032,-6.8
E08000033,0.0
E08000034,-1.6
E08000035,-2.0
E08000036,1.0
E08000020,-2.2
E09000001,-25.4
E09000002,-1.4
E09000003,-4.8
E09000004,3.6
E09000005,-15.6
E09000006,6.5
E09000007,-7.7
E09000008,-1.7
E09000009,-12.9
E09000010,-5.3
E09000011,-3.3
E09000012,-0.9
E09000013,-16.4
E09000014,-13.5
E09000015,-9.7
E09000016,6.1
E09000017,-1.1
E09000018,-10.6
E09000019,-5.3
E09000020,-8.2
E09000021,-0.3
E09000022,-8.8
E09000023,-4.2
E09000024,-7.2
E09000025,-25.5
E09000026,-4.6
E09000027,2.6
E09000028,-7.7
E09000029,3.9
E09000030,-3.5
E09000031,-14.6
E09000032,-5.3
E09000033,-28.3
W06000001,0.7
W06000002,-6.8
W06000003,5.3
W06000004,5.3
W06000005,0.5
W06000006,-2.7
W06000008,-4.8
W06000009,2.4
W06000010,1.8
W06000011,-2.2
W06000012,-1.0
W06000013,4.7
W06000014,2.3
W06000015,-2.2
W06000016,-1.3
W06000018,-0.5
W06000019,-1.5
W06000020,-0.5
W06000021,6.4
W06000022,-2.4
W06000023,-0.5
W06000024,-2.0